29255
_jm^i^ _`
UE_Ynn ISP]Yn
_TPb ULPL
UPZCbhlT_lfOYLT _iK[SfOcULT
KTP _iK
[SN [SNUE_]_p
U Tf
bP[XfOXf $
_Ji^i^B _
[F]]j__ RT____
$ V]]
R obPGOF`fOllULTT
_jm _r
Un bPb
_iKbaYP]CE OinJ
F UHZobLnYLgY
UYe]RSL _i^iKJFJFJF[GaYEL
_TPba FPqSIIa`TmKJFKbjhUqSfOSUGa
$ _iKbP]FFH
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG _iKqTPqS`Tm^iKZOKiobaYEF__H
[SNpFSpFhXXXX [SpFhXXXXX
nZO nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i
[pY [SNp
[SUE_]U_ [S__
bPqiK` _jmKdLnYn
bPqTP bLqjrK
Oo UNfbPBTPqi^T
bPZOKijFbYdHEFHLH _BTPa
$ bP[GPXSSZCPXSFHbqOSUSUlTFfO
[S_ [SUE_]U
UHZoZZQ UY_ZdHdOfUH
_joII`Tm^TP[LTTBUcfOllUJ_ nJF[lldRSUSUL
_SI`Tr^jo`TmKqjr F_SKeP
_T Lb
V Vj
pnqi^KJF nJF
[Fj_ RFj____No_X
^U bPJFbbqOE
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
_ _jr
nZZjUF[JTBU OoP[
bPbHZoJF[SUE _TP`cUY
UE_CP] bPbaY]
_S`TrK[LlfO _j^TP`O
$ OP
_SIII`TII`Tr^j _SII`To`T
UP ISP
n[Sf bP[_lf
n`OERFULTTDfOYZobPZFSZCLn ULn
OoPmqi^bT\bjLgYNU _iK[lTFUcfOS
_^eQ^S` _SI`
V]] $
nJFJFbY_ bPqS`ToaTrKbO\j
_SII` _S`T^SI
Ym`[OcUcfOLlU _TP[XU
bP[_l n[S
UPZCbhlT_lfOYL _iK[SfOcUL
U YJLjQ
OoP bPqiMjr^jr^jm^i^TP
UE_CP bPbaY
Ubjh nJF[lldRSUSU
[SUEN_SYp [Sp\[N
OefO^[hXXXXXXXXXXXXXX [hYXX
R $
U MhM
n[CT_lUS Oe
bPHOJ_lfOcUlGfOLlfOJT\lfOSa nqTP`OS
o_jm _S`Tr
RT]f V
bPbP]RSS g
UY PZRSSZRYY_Z
nqjmK[EjOlTTDfOcfOJ_l `OLl
_TP[Slqh _iKZ
OUE_C U
bPJFqS`TmKeU Uob
$ _jm^S`Tr^SI`TmKbaY
$ X
U bP`OfOGYOm
_SI`Tm^jYo`Tr^TPqS`Tr _i
nZZIo[llUS n[c
K bPbYd
[S^__BUNUnN [SpFSUE_]NUE
nqiKXUJTB]OGNUk ULnYLHYbjjhJ_TTBUGO
$ _TPb
VBfYH nJFbbjj
_TP[XUJT Ym`[OcUcfOLlUJT
bPbY bPJeFbMZZ`ZZ
RT] [U
bLqjrK bP
nZZjUF[JTBU UHOfoJF[
Vj]j__ RTj
[ OUp
$ _SIII`T
Ym`[OcUcfOLlU _TP[XU
bPqS`Tm^TPZZjF Vd
O $
nIFb U
n[llfOLlUSfOEMQOSfOYO nq`S_jr`TmKZO
UP] ISP]
UPXSFHESZFS]CN iM
_SqI`Tr^mj _SII`T
RT_____ Vj_____
nZZQ nq`S_jr`TmKZ
nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i nbrHfZ
[F]fnUH bPeeWfnH
_^eQ^S` _SI`
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nbN
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
ELnSg _jo`Tm^TPbPZ
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
P[J_lUrfOcfOfOEXB bPqjrKeoP[SfOlTF
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
[S_UiPPDo _K[
_S`To`Tno`Tr\ n
nXUSUSUEMQNOEOrJFf _TP`OSUJT\lfOSfOJFUXfOllfOcf
nZO UbhJFfOXUllfOSUEMQOLlfOGHZ
[SpFSUE_]NUE [S^__BUNUnN
_i^ _SI`Tm^jYo`Tr^TPqS`Tr^
kqT`P bPJFJF`OGHZo
bPVFJFW ne
n[GPXS UEOcJAOHEOXS
KdRV OoPeoP`OSfOcULlfOGNW
_SIII`TII`Tr^ _jr^
S[SppO UNp
_jm^i^ jbOE
Ym`[OcUcfOLlUJT _TP[XUJT
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO nZO
n`OJ_lUkJTDU _i^SI`TmK`OLlU
nbLnIY nJFe^UaYaYE
ULnYbqOXfOlTFUYZ ^UHOT
[SUEUp_pp[UEUU [S_UEUE
_S`Tr^jr^iK _K
_T joI`T^
_jo`Tm^SII _SqI`Tr^mjo
nZZIo[llU bPqTPJFqjrKJF`OSU
OUE_Ca OoPZZQOijFJFbLnYa
_BTPa UYdHa
bP[GHO[K[KfjF`OSfOcf ^E[
OefO^[hXXXXXXXX [hXXX
n[SfOGLPYaYH bJFeoP[Ym
_jm^TPJFeUpoP `ng\N
Z_ nq
ULgY $
nZZjUF[JTBUY n`OcUcUSUEX_lfOY
O^ I
_jm _SIII`TII`Tr
_T $
_TPb $
RTj__ VQj_rr_
V]j_ Vj]j_
UESXYLnY n`OERFULTTDfOYZobPZFSZC
nb bPbP]DRSfcArhLVrhSXY
_i _SI`Tm^jYo`Tr^TPqS`Tr
Oe\fN bPqS`ToaTrKbO
nJF[lldRSUSU Ubjh
SKN VfNfUYdHN
bPJFJF nqqKeUDP
[S^__BUNUnNN [S_UoE_AE_YpUE
OU U
ne^_TP[ n[JFUEMQHOGLgYbjqO
[F] V]O]
ULn MhMa
UOU VfdNi
ULnYaYNfbPZ UbqOGXfOEUQOYOXgQ
bF _TP
[hXXXX OefO^[hXXXXXXXXX
nb nJFJFJ
Vj_ RT_
nJF`OEjOYOfoqiKJ ULnYcZj
bP[LlUllfOcfOc nP[Sl
nJFbbjj VBfYH
V]S O^V
RT_ Vj___
_SI`Tm^ _Ji^i^B
UN n`OLlULlUG^
_omToTmK OoPJFqS`TmK[GbhSfOEMQOLTFfOYOfjFe
neo [o
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
n[Sf bP[_lf
nJ JH
ne^_TP[ dn
_b nqi^T
O^ T
RT_ V]j_
_ _^eQ^
Ubjh nJF[lldRSUSU
bI OU
joI`T^PJ _TPJ
V]f jFNf
_TPqSI`Tr pnqi^
fjRYPXS_ bPbEF_cArhS]
nXUSUSUEMQNOEOrJFfO bP`OJTDfOEMQOXfOlT_lU
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
_i^SI`TmK`OLlU nZZIo[llU
_ipOG _TP`OcUSUGO
RGT] bP[GNfO^RT]
bPJeFbMZZ` ULHYY_
nbbjqOXUJFfOSULlfOY bPZOi
_TP $
RT]] RiT
_jo`T bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T
JFF _jr^jrK
bP`Oc nXUSUSUEMQNOEOrJF
nqTPe^_jo`ToI`Tr^TP`OlTFfOc UPZCbhlT_lfOYLTF
[Sp[NpFS_ AN[SUW_AE
nqTPGaYLnYOj Ub
_TP`OJTDULT_lfOLlf bPJH`OSfOLlf
STf RT]]f
n bPO
UbjhYZjFqT RP
CP[X UbhEXF
P[J_lUrfOcfOfOEXBU nqTP`OXU
AN[SUW_AEU [Sp[NpFS_U
UbjjhGE_RSL RhXXXX
[SUEN_SYp [Sp[
RT__ nbNUWj
obPGOF`fOllULTT R
_K _jrK
UNWj___ V]O]j
ne bPVFJFW
]ngZjOE UP]F_CbqOLlUYZjF
JHF` [Sp\\[
nJFbbjj VBfYH
_j^TP`O _S`TrK[LlfO
ULY bPbaY
RT]fN f
rj bPqi^i^
ULgYP]FSXZ UE_
UaY RUm
bPJH`OSfOLlfO OoPbbh
[U RT]
bP`OLlfOlTTDfOEXFUG `bhXUJfWOG
Vfi [FfN\f
Ym`[OcUcfOLl _TP[X
_TP`OcUSUGO _ipOG
Vrj_ _jmKJFbE_FL
ULnYbqOXfOlTFUYZ ^UHOT
jFN V]
[S_N_] [Y[
dUaYbEO U
bPJeFbMZZ`Z nbY
[hXXXXXX bP`OcfO
_SII`ToI`TmKe m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTBU
_jrK`OcU nZZIo[llU
UNfU ^TiM
_jr^jrK JFF
_SkT^YKbNfO^ O^
G[] _i^i^jmKbN
\_T\D bPqS`Tm^TPZZjF
_i _SI`Tm^jYo`Tr^TPqS`Tr
UPXSSXSLVO nUPZJdL
pDbP _TP
bLqjrK bP
_PajWA _TP[lTFUG
[SUEUiPDoE_ S[Sp
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS _S`Tr^SII`To`TmK`Oc
_TPbbjqOllfOGE nkOJT\lfOqEFMHE
[F]]f Vfi
U dUaYbEO
Ub bbj
OPbYrd bPe
_SII_ _i^S`ToI
nqTPe^_jo`ToI`Tr^TP`OlTFfOc n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
_]HS`Tr^SI`b n[XfOcfOL
p_TPdh`OSU UbjhcUSUJ_lfO
UO neoPe
[Y[ [S_N_]
nbY PZRSSZRYY_ZZ
UE_ IUY_Zdcerh_
RP bPqT
S[Sp [S_NU
bPqS`Tm^i^joI`To`TmKJGFZOK bPZO
UbhGLg mcLg
$ bP`O
R $
bPUo bPqjo`To
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T _jo`T
U bP`OfOGYOm
iT _jm^SI`Tr^
U MhM
` $
_iK[lTFUcf dJ_lULlUXf
$ _i^TP`OLlfOJFUGOfb
n OMpV
_S`T^SITr _SII`Tr
UOfRT]]j__ VFj_D
O^ `E
_SII`T _i^SWT
_BTPa _S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa
[SUEUiPDoE_ S[Sp
bPbbqOEMQOllUEMQ r
bPq $
dn n[
n $
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
bPqTPJFqjrKJF`OSUSf bP`Q
nqj Z_j
nqTPGaYLnYOj Ub
[ _S`ToII`TmK
ULHYY_ZZdc $
_TPbLgY ULY
[U RT]
n[CT_lUS bP[LlUGN\fN
\UHZ n[GHOfjF`OJFUGHZ
bPDO bP`OJT\lUSUXU
_iK[SfOlT_lfOLlUSUlT_lf Q
OoPZOKi LSbLPYLHYHZo
[SUEN_SYp [Sp[
b $
_jr^ia _i^
jFN V]
[Y[ [S_N_]
V]O RT]
[hXXXXXXXXX OefO^[hXXXXXXXXXXXXXX
[Ffn Sgfh
UbjhcUSUJ_lfOY UHT
_jr^jrK bPqiMjr^jr^jm^i^TP
bPJFqjo`Tm nqiKqjQ`
[hXXXXX [Sp[pFh
nJF pnqi^K
bPbYdHYdHbhEjOS Ym`[OcUcfOLlUJTB
R [F
joI`T^PJ O^n[EMQOYZo[J_T_TFfOcUJFfOllUYZj
` $
_T $
OoPbEHN OeUU
nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i nbrHfZ
_iKbP]FFH $
SKN VfNfUYdHN
]bOTb O^
o_jm _S`Tr
_ _^eQ^
_jm _SIII`TII`Tr
Vfn Vf\fn
n[GHOfjF`OJFUGH \UH
kqT` neo
$ OP
nqT C
_i^T I
n`OGLPYbqOSfOJFfOLl brPgTX
OP $
ISP]Yn UPZYnnn
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQOi UbjhcUSUJ_lfOYZ
OoP bPqiMjr^jr^jm^i^TP
bF _iK
P]FF UYZ_Zd
`PQFlJFJ [SUENN_B_BUY
`bhXUJfWOGLgY bPb
Ub bbj
T]] bP[GNfO^RT]
nJFqTP[XUJFUSU ^bPbP
RT T
[hXXXX [SNpFSpFhX
`E O^
_SqI`Tr^mjo` _joIIII`
nqjmK[EjOlTTDfOcfOJ_ `OL
bPO n
_SII`T _
nbLPYE_ $
bPJH`OSf _TP`OJTDULT_lf
rUkYhH _S`TrKq
nZZjUF[JT n[LTT
VBfYH nJFbbjj
_jr^jrKJF g\Z
n`OXU brPgT
b _b
nJ nJFbHOlj
bP $
[F $
[S__YUp_UU [SUE_]U_
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll bP[LlUllfOcfOc
XnR bPqS`Tm^joIII`Tr^TP
$ V]
nqi^ _SIII`TII`Tr^
nq`S_jr`TmKZO n[llfOLlUSfOEMQOSfOYO
OU bI
B bPJF`O
p_TPdh`OSUYZ _SI`TrKZOi
S[Sp [S_NU
[hXXXXX [hXXXXXXXXXXXXXXXXXXXXXXXX
_i^SW _jm^SI`
ULPY n[SfOGLPYa
nqTPGaYLnYOj Ub
bPZOKijFbYdHEFHLHY T]f
n[IJf_TTDf OoPbYZdHaYHOKiQZo[Sf
bPbY g\
_r^ _S`Tm^
nb _PajWA
_jmg bPJF
_iKqS`To bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII
h RT]fN
_joKTrK[XfOXfOSU n[llUXU
S[Sp [SUEUiPDoE_
n`OGbjjhJFUllfOEjOcfOGbj nWb
Z_jr nqjr
SKN VfNfUYdHN
bP[GbqOYZoZO HO[K
T O^
UN n`OLlULlUG^
_ _^eQ^
nJF` UbJca
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG _iKqTPqS`Tm^iKZOKiobaYEF__H
E UaYHZoZ
RTafYT _TPbaYYdHN
_jo`ToI`Tm^TP`OJTDULTFfOEMQOEX_lfOllfOllfOJTB nXUSUSUEMQNOEOrJF
_ _^eQ^
nP[S UP]CLnYLgYbqOLTTDUcUJTDUL
$ W
_i^SI`TmK`OLlU n`OJ_lUkJTDU
$ _TP
n _SI`Tm^jYo`Tr^TPqS`Tr^jmK
bPJFqjo`Tm nqiKqjQ`
bP`Oc nLLlUJTDfOc^
OoPbEHN OeUU
OU U
j UO
Rh V]
n[GPXS UEOcJAOHEOXS
_TPbJ_J ULHYPZCaYPZF_
OMpV _jr^TPJF
$ O^_
_b nqi^T
O^_i _^Sb`Tr
[F] RiT
UP]FSXYHZjF[cULlfOSUSfOEjOX dJ_lULlUXfOS
n OMpV
VfNfUYdH SK
UPXSFHESZFS]CN iM
Vj__ RT
UP F
UbhEXTB mO
bPJH`OS _TP`OJTDULT_l
_SII_ _S
Vj__ RT
$ O
[hXX OefO^[hXXXXXXX
_TPbbjqOllfOG nLFUFbbh^G
[SpFhX OefO^[hXXXXXXXX
V]daj___ _joI`To`TmKqi^TPqi^TP`OcfOXfOSfO
nJFbHOlj nJ
_i^TP`OSfOS bP[_lfOll
[SUE_]U [S_
o nJFZZ
ULY UELO
bPbY_d__cAOHoQ nJFb
UP]CPXSSXYbhEMQOXfOXfO [hXXXXXX
n`OERFULTTDfOYZobPZFSZC UESXYLnY
n[GHOfjF`OJFUG \U
nLFUFbbh^GE _TPbbjqOllfOGE
nJFe^UaYaYE n
nZZIo[l _i^SI`TmK`OL
[ RTfN
$ l
^UHOT bPZO[Kf
ULn ULPY
[F]]j RT__
_TPJ joI`T^PJ
g\ bPbY
V]j_ RT_
_iKqS`To`T _F
bPO n
PoP bPJFJFJF
F_SKePK bPJFJF
b _iK
ZT VfNW
ISP UP
OoPbYZdHaYHOKiQZo[Sf bPO`
_j^TP`O _S`TrK[LlfO
rj _S`Tr^jr^SII`Tr^
[SUENN_B_BUY T
UaYESZ bPbaY]
FVEf RTf
_TPeoP`OEjOc _TPJF`OXUSfOQllUJF
EN_ bPq
O^_T Po
IUY_Zdcerh UE
_b _i^T
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUllf bP`OLlfOEjOSf
Un bPb
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j___ RT_
bPLOllGfUEL\hF__ UE_FF
dJ_lULlUX _iK[lTFUc
_jmK[l bP[EXFUSUUEjOJFUL
Z_jr nqjr
A n
dJ_lULlUX _iK[lTFUc
UbJca nJF`
bP`OSUE _TP`cUY
n[llfOLlUSfOEMQOSfOYO nq`S_jr`TmKZO
UEOcJAOHEOX n[GPX
UOfn $
Vj RT
_T _Srr^i^
UOfn $
Vj__ RT__
n joI`T^P
V]f jFNf
[pY [SNp
GQGB VfNfUYdHN\
_TPbJ_J bPbLnYLgYaYE_
$ UOfn
Ub nqTPGaYLnYOj
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU G[]
_j _SIII`TII`T
bP`OX _TPJF`OXUSfOQllUJF
n[LTT nZZjUF[JT
bP[llfOLT_T_lUlT_lUEXFfOllUJ_T_lUSfOcfOEjOcUJ_TFfOE bbHO[KK[[fo[cfOLTTDU[DfOEp
nb FPqSIIa`TmKJFKbjhUqSfOSUGaY
_SII`T _SqI`Tr^mj
nJF`OLlfOcU P`bLlfHXYfOJ_PlU
n[llUX _joKTrK[XfOXfOS
[hX [hXXXXXXXXXXXXXXXXXXXX
UPZYn IUY_Zdcerh_Y
_joKTrK[XfOXfOS n[llUX
O^ _S`ToII`TmK`O
_TPqTPbYZdc _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYYdc
_\KbOfRT] ne^V
nqT gb
UaYbdjhEOcUlTF^ _jr^SI`TmKJF`
nqjmK[EjOlTTDfOcfOJ_ `OL
_T _Srr^i^
UbhlTF nXUSUSUEMQNOEOrJF
U OPU
OU U
bPqiK[cUXUJFfOiOiQ _jr^TPZ
Ubhcf Ym`[OcUcfOLlUJTBf
pnqi^KJ _TPqSI`TrKJ
n`OXUJ_lfOXfO UbhULlUXfHOXO
bP[ _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMWQO
RG bP[GNfO^R
pnqi^KJ nJFJ
OPU U
_TP`OJTDULT_lfOLlf bPJH`OSfOLlf
KTPbH _i^TPJFZ
b _b
bPq jbOE
nUPZJdL UYZ_Zd_
$ V]]
_SII`T _SqI`Tr^mj
nJFbbjj VBfYH
_TP[X Ym`[OcUcfOLl
n`OXUJ_lfOXf UbhULlUXfHOX
UHT nJFZ
_SIII`TII`Tr nqi
nbLPYE_ $
_jSa`ToII _i^S
$ nZ
_TPbLgY ULY
UbhULlUXfHOX n`OXUJ_lfOXf
_TP`OllfOSfOllfOXfOSUY Z
$ V]]
bPJH`OSfOLlf _TP`OJTDULT_lfOLlf
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU G[]
[Y[ [S_N_]
[F RGT]]
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh _TP`OllfOSfOllfOXfO
[SpFSUE_]NUE [S^__BUNUnN
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU G[]
bPJH`OSfOL _TP`OJTDULT_lfOL
VfNfBnUP] bPbES]
o_[i _jm^i^i^T
pnqi^K nJF
O^V]f nSb
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
nJFbbjj VBfYH
_\KbOf $
] V]]]
Bq ULHYE_RSF_cAO_cAVVOHE_C
GSa`_ _S`To`ToI`To`
_SqI`Tr^mj _SII`T
eog UbjhYZjFqT
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
n_ _joI`To`TmKqi^TPqi^TP`OcfOXfOSfO
_i^ $
V]O RT]
n[JFUEMQHOGLgYbjqO ne^_TP[
OefO^[hXXXXXXXXXXX [hXXXXXXXSX
$ _jmK[YOKijFqjm^S`T
nqi^[Pcb U
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
SbPeqiKeef_jr^TP`OllUcUcUKc bP`OLlfOEjOS
_iKqS`To` bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`
bP[EXFUSUUEjOJFUL _jmK[l
UaYEFc UYdAMcAVVOc
VfH UPX
j__ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_________
_TP[XfOYO[[fjFqiK o_[iP
_SkT^YKbNfO^ O^
bP[GNfO^R RG
FVE UEFHaYaYYZdHLgYaYPXYOf[F
_TP`OJ_lUGOf[F] R
_K[YOfP[W nJFe^UaYaYE_
$ bP`O
U OU
nb bPbP]DRSfcArhLVrhSXY
nZ p_TPdh`OSUY
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
_T Wo
nZO UbhJFfOXUllfOSUEMQOLlfOGHZ
OUE_ UE_
_SII`T _
n`OGN\ ZT
OUE_Ca UE_Ca
nqS jm^Vi^SIH
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY bPb
nJFJFZO[Kf ^UHOT
_SkT^YKbNfO^ O^
UE_Ynn IUY_Zdcerh_Ynn
V]f jFNf
_jm^i^T $
O^ T
KFed__ RT]j
UE_CP bPbaY
OPU U
UaYLPYLnYaYaYE_FLrh_FS]FFH RUm
UaYEFcA UEOcJAOHEOXSL
b nJ
_TPbbjqOllfOG nkOJT\lfOqEFMH
nbo bP`OJT\lUSUXUG
nP[Sl UP]CLnYLgYbqOLTTDUcUJTDULl
nqj Z_j
nZO UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO
OoPbbh bPJH`OSfOLlfO
VfNfb Po
UY_ZdHdOfUH UHZoZZQ
Ua jiK[SlGX
UE IUY_Zdcerh
RT]] V]O]
nqiKqjQ` bPZO[Kioqjm
nJF[lldRSUSUL _joII`Tm^TP[LTTBUcfOllUJ_
UbJcaOX _iK[SfOlT_lfOLlUSUlT_l
O $
bPbES VfNfBnUP
V] jFN
_jm _SI`Tm^jYo`Tr^TPqS`Tr
nqjr^ Z_jr^
_i _SI`Tm^jYo`Tr^TPqS`Tr
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C nbHY
[SUE_]U [S_
UEOcJAOHEOXS n[GPXS
UEFHaYbhS nJF[lldRSUSULl
n`OGaYbj bb
`PQFlJFJ [SUENN_B_BUY
nJ b
_joKTrK[XfOXfOS n[llUX
U $
OoPJF[cUXUSUJT\TF [S_YoEh_]__
ne UH
$ _TPb
_jmK[ll [S_YoEh_]__
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nqiKbN
$ R
ULgYP]FSX nqjm^jr^TP[SfOGP
nJFqO _i^T
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
Y bPJFqjmKZO
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
nLFUFbbh^G _TPbbjqOllfOG
[SUEUiPDoE_ S[Sp
nbNf _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHYf
bPO n
_ri` nJFJF
[S^__BUNUnN [SpFSUE_]NUE
X $
UaYPZFSX VfH
_TP[cfOXfOlTTD m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTB
_omToTmK _S`Tr^TPe
UbjjNhY nJFZ
_SIII`TII`Tr _jr
bP[llfOLT_T_lUlT_lUEXFfOllUJ_T_lUSfOcfOEjOcUJ_TFfOE _TP`cUY
nZZjUF[J n[LT
[hXXXXXXXXXXXXXXXXXXXXX [SpFh
O^O _omToTmK
`Q UN
UN [
[ZX OefO^[hXXXXXXXXXXXXX
`Q UN
bP^ bP
bPJH`OSfOLlfO _TP`OJTDULT_lfOLlfO
OefO^[hXXXXXXXXXXXX [hXXXXXXXSXX
V] R
UE_ OUE_
UaYEFc UYdAMcAVVOc
bPZO bPqS`Tm^i^joI`To`TmKJGFZOK
UN iM
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
UYdc UYdAMcAVVOc
bPbY_d__cAOHoQ nJFb
[SpFhX [hXXXXXXXXXXXXXXXXXXXXXX
_iK[SfOcUL UPZCbhlT_lfOYL
_SI`Tr^jmK`OYO[ bPZOiO
bP`OLlfOlTTDfOEXFU `bhXUJfWO
_jr^ _SIII`TII`Tr^
nJFb bPbY_d__cAOHoQ
bPJFqS`TmKeUp H
[hXXXX OefO^[hXXXXXXXXX
bPbYdc $
joI`T^P _TP
_T $
FUHOE UOf_S`TrKbHO
U[aYEb UP]FLrh_CaYa
_i _SI`Tm^jYo`Tr^TPqS`Tr
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
bP[GPXSSZCPXSFHbqOSUSUlTFfO $
_TPbN N
[S__YUp_UU [SUE_]U_
O^ U\_Nd
[SpFhXX [hXXXXXXXXXXXXXXXXXXXXXXX
nb nkOJT\lfOqEFMH
VfNfBnUP UYdcArhS
_jm^i^i^T o_[i
O^b _C
OoP`O nLLlUJTDfOc^fO
Oqel UbqOXUGLPYPXYq
OU\bq^` bPZZjF`OllUG
KdRVf ULHYN\f
bPe fQU
nJFb bPbY_d__cAOHoQ
UPZCbhlT_lfOYLT _iK[SfOcULT
$ RT]
RTj_ RT___
nbrHf UbhJFfOXUllfOSUEMQOLlfOGH
VfN\]fYH VfinH
UE IUY_Zdcerh
$ V]]
OoP`OXUY bPZOi
bPeeWf IVnJ
OoPJpESXSLrhSZCLnYNfUaYN\ RTfNW
[SUE_]U [S_
V]] $
_S`Tr^jr^SII`Tr^i rji
UaYNfn ULnYbqOXfOlTFUY
_i^jm lF
n[lT_lfOXUG MhM
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
Oe\fN bPqS`ToaTrKbO
_SI` _SqI`Tr^mjo`
UN U
n nIF
nTP[USkfO _TP[
_jmg bPJF
P[J_lUrfOcfOfOEXBU n`OXUJ_lfOXfO
$ OP
c O^
UP]CLnYLgYbqOLTTDUcUJTDUL n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUl
_TP`OcUSUGO _ipOG
[S_UEUE _[Ti
nqTPGaYLnYOj Ub
n`OGaYbj bb
UP]CLnYLgYbqOLTTDUcUJTDUL nP[S
bP[EXTDUllfOLlfOcULlfOS UbJcaOX
bPqS`Tm^i^joI`To`TmKJGFZOK neoPZO
nJ pnqi^KJ
_TP`OSUJT\lfOSfOJFUXfOllfOcf nqTPGaYLnYOjq
E nbNf
bPbEF_cArhS] fjRYPXS_
bP`OXfOSfOEM LPYHZ
nqTP`OSf bPO`
bPZOioqiK ULnYcZjF
_TP`OcUSUGO _ipOG
nLFUFbbh^ _TPbbjqOllfO
nZZjUF[JT n[LTT
R RW
bP[GHO[K[KfjF`OSfOc `OLl
$ _SkT^YKbNf
U bP`OfOGYOm
OoP bPqiMjr^jr^jm^i^TP
bP[_lf n[Sf
_jm _SIII`TII`Tr
nJFbbjj VBfYH
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS nqTPe^_jo`ToI`Tr^TP`OlTFfOc
_TP`OLlfOSfOcfOSfOXUXfOLlfOSUJ bP[J_lfOBSfOLlUXfOSfOL
bPqS`ToaTrKbO Oe\fN
_jr^jrK JFF
UaYNfnZ ULnYbqOXfOlTFUYZ
[F]j RFj____No_X
_i^SI`TmK`OLl n`OJ_lUkJTD
nqTP`OEMQOcUEX_lfOllfOSU Zn[aDafOllY]f
_TP[XUJT Ym`[OcUcfOLlUJT
iM n`OGN
U n`OERFULTTDfOYZobPZFSZC
ne^ k
nqjr Z_jr
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
bPZO[Kf ^UHOT
UbJca nJF`
nZZjUF[JT n[LTT
_Srr^i^ _T
bPe eq
nqT gb
