23703
OGfHUIGK GWkodKgK
SAP^ Sj
SbKaIcIOFX QOdgeXm^QUPmhAh\KRK
GWHnNG OYLVjWoKV
j^nUeJQh SkTgWRqmih[ihAibkaIk
GWLPHLL OSnLE
XSOqbGkPdiX SV````MqOqbGhMn`QgkUf\SPmbPmiQW\
SkkjCSBjBj OZaaP
OSnLE GWLPHLL
OEGjca S
GWWZJad\gPmiQ`aZB SOaYWf\\BBqR
Sb OFeZqmEQ[
OZUXG^aS]CjQjjZ]CjKKT SbqkVNESjKKQ
SAGB bGWeB
hWg OZU
GWeJagPmbeJQMV```MkE\BGddEfS] GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]
iWBKmj\Mn^l GWk
SH OnXd
On OFYYY`M
SbYkaaP SebKa
GWHFqV_^nqkiRnQ OEPmQ`Q
OFBMBH OEgJQEIc^kIYKeBRB
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW OZUGdd
SkQ OZUH
Od_nSjKKKQjBjjKQj GW\BGkXhOk^aS
TKKKKgKWPmimcKN SkcaW\BWMOkZUHK^NF^^^NFNFN
SebY[MqbffGh`` nDjp
OGPmihAbeJ GKKKKKMkUWoRJ
GKW\WgP GWPmQWeBSHWgKWfP
OrISArIGWeKISkkjq`B``MhMfY[`MKa Sjq``MkrISeAFqmibkaLEj^a
SkWmhA\WPWm GWBqm
On]nSog OGPmQ
OENGBkPNdf OSdW
bO]SWK^KNh SkcaW\BWMOkZUHK^NF^^^NFNFNhe
SO OFeZqmEQ[
OdDAP GKX
W OSE_p`M
SOhMKUeBRS SAdDjjkV`MGfYV_dZndWHUmG
S GWf
O_ Sk`aZBS\g\
OGB SkFXIOEWgpM^kjYqMKnENR
OSnIK^Q GS\U\Sk
PD OrIG
SV``MnWfPmQcUmgknENeJQeB ZUhBLQ
O $
hWg GWPmb
OnOdW\SGdrIOPG\S\geJQELna OrIOZaa
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZjQ SOqjkREiRSjK]ZGjnQjjKKQ
_Sk SOq
GWHFqV_^nqkiRnQH OEPmQ`QH
OnIfqV`MgKnnIkekV SVMKnE
SAddHoqmhPUrRrjPUrRr OGBqOhPUrjPDRrRrjPUiRre
DW\SoYW\`WdH SAEH
mn SkVNeXISbnTSkaI
OZnh^CaAT GcW^kUjm\
GWAiAgqpd GW
Od $
O \O
SAGkaI OnIhMkSPNRqmQkk
NSVMY OdjpMYc\EPmhAQkk`Q^cI
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
OnRpc j`aZqmihQTg\BWElIVViRn
GWkU GfKWPmhEZhEh[h[Eb
GWkUdSn GKW\gfPmQ^a
HERZq SOqk`aDkTBPm
OFBBWW MOEBBMXBHHHW
Sk`QgaS]CjKQj]S OGeKmZXmZJQESjZjQjBjjKZ]C]
fO $
GKWW KhSKWKI
OZndK SVKgGqMncQUWELEiKaL
OnXH\dGndKKWo m
SgYkVjKc GKKWH
WSk[`` SV``Mh```
SArIS `
SAne LOSE
$ S
YP $
SkVcffkd OdZqZmQ^nhoBMR
G GKKW\Pi`kbn
SVMGGhMGqArm_dKWGYCSjKKKKK On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
OGf\gWGnpYj OrISj[
OG SANZ
SejdZU\B\BBqmiib ^G
OnRnLENdH\SE_dZn SVMXrHSASf
SA OhEYcqOhUMk
GWG OPcYVc
Sek[MhMn GZI
SOn`aZKmhOnTBGk`kV`Mn OP`
dP GWfP
SjCaA OGPmhJ[Q
MOEBBMXBH SAZUeBMBWHWHH
Sk O^YCaA[`MqjkXRXmEI
SAne OrIOSpYke_^neP_jLjdEknnAV
GW\BGkXhOk^aSj Od_nSjKKKQjBjjKQjj
SAdZIBMSWR OnXDj^Ue
SeAnRL OYnIqAS
aFSkAr OdGaLE_YCLh\Pi``aEIc
OrmdG GKKW\SG^UkhcLpY
OcPjkk`QdBBqMS Sk^UkUHaKKKWeqmibPmb
SZVMYc On`Vi`c
GKKWPmQkee EK
OZaaP SAZaS]Rj]jjBj
$ SOhMYk
OSdW S_kTB
MOEBBMXBH SAZUeBMBWHWHH
SeASqqM kOZYlV
Sk`YhaRJaeJaHUmdGj`bQ SAnREcqV
OnREcGqOKa gOdGa
bO]SWK^KN GKKKKWGY^UeJaHKNFN
GKW\gf SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb
OFq GW\OgBq
$ GKWPmhAh[bHIOGfWHK^^Nj
OGB SkFXIOEWgpM^kjYqMKnENR
GWWH RG
GKWPmiibeJa_naPSBjB GWeJagPmbeJQMV```MkE\BGddEfS]CB
GKKKKKMkUWoRJ OGPmihAbeJ
OnXHUIGWfWeqQKHZbkGPmiQWHoKIGWH GKWHF
nDjp OFXIOdRBMRRq
GWBBSGq``Mq GWgdWBXISeOqkYKD
SV`YCMM Sb
SOqjkREiRSjK]ZGjnQjjKK OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZj
OGPmhPUrRrjEQ[MYKGaa OPcRGhMfkdEa
SAnRhFq[M GKWeKISK
OGWMkTgeXmMbfhMkZ OnIqk[``M^
OFqmQK OIaIK
SbO GKW\gWDOfqbG
[HW OFBMqRBHHWHWW
MGWHjKGUP OFq
MOEBBMXB SAZUeBMBWHWH
SAdHoKmZBRSeBS\ GLom\g\
S O
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
oSe S
OEH OrIGKW
OrJISbKnh\PjTgPmhA OPNZXIOFqm
GW\gGp`AMkGfXfH\Zn OS
SebK OnIUkUk
OSdWBKIOPjTgfepJ^YqM GKW\g
OPNhAZU\BBXIOP_ddMVMncZk SjmjKhkWBJQELqpMfn
OS [OndHRnL
AGMEBqqAP_Bq OdHISkKZqm
Sjd OO
GWfGbVcGYGQGa SOKa
OP_CS OZUXG^aS]CjQjjZ]CjKKTj
SbY[MkdH^kRqBkdESNZ SjCS]RjBj]RjjKKZjZjQjjKKKZBj
SAPiIqOqjdZUWGUkUeK OGBEX
OZn SOGqkNRJQGnqjViR
OEPmQ`Q GWHFqV_^nqkiRnQ
GWW_dWknpcS dGWSBX\AHqmbGCS
OnXMA N
N GWWdWMVMkrISjBk
K OFJ
OGogoKIP OZnnIV
OF OGBE
SjCaA[ OWmekbdjq`
OnXH\dGndKKWo m
Sb lPbfdM
PD OrIG
OnIfqV`MgKnnIkekV SjY^nqke
OnXgeXmELEiecnW\SkUBKmRKmH SjkqIGKaaRE`
OGBE OF
O SkkOkPcnkOfYW
SbqbKUHgqTSPmhPDRrj SVf`MqbfqejBYWPmobQBBSeqpih
M SOn`aZKmhOnTBGk`kV`MnV
GKWPmih[bBBMBHHHWHHHHHHHWWWHHWHWHH mOeBB]H
SZjdZUWgfp OZUGp``
N OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmh
OP_CaATSfeKmZqmih $
GWknq SNj
EK GKKWPmQkee
GKKKWPmQ`ah SY
OBqqB GKKWHZAFJQHoJaeKmRBMRBHHWH
S D
GWHgqKgHZ $
BOhSnqTBBqmhEh GWPmhPUrjPDjPDj
SK SAFJQHgqcFq
SV\MYNi`[`` SebhMnKDV
OSnS] OZUXG^aS]CjQjjZ]CjKKTj]
SV```M b
DW\SoYW\`WdH GWfH
lPbfdM Sb
a SjCLhaKWHoXI
S GWkUWhVMf
OnZWHh SebY`aDbY`Q^Yk`
GKKK\WPmQ^ SkKRKIGKWBJQH
OFJQ`Z OFJaR
On oWI
SeOh`MhMkFXmRqmQ^UeXm^cLpcSjKZ]jjBj]jjjVQjC OZaSjQjBjj
SjYInnSBjB GKWPmiibeJa_naPSB
OrmeJMOn^npcLqYCS OZaSBj
OnREcGqOK gOdG
GWBqmhPDRrj[h[bHU GW\HZkkVm`KMhOM
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]C SjYInnSBjBj
SbncIOEHUIOFBSPmQ`agBKISeej^aIcZVMT WjSI
S Onei`KDkTgWgW^QUBJKQh
SOqbGgnWHB GWBKmMOKnh
GKW\gf SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb
IAFB OZUBBSHncnWeBq
SAPjW\go OdSnLd[IKKKWgo
Sj GWeJa^cLqBh``MYKELqqMhM
SArIS S\AnXJbq
GWeBq SA[BRS\SfBBRM
OGBX SANZBX
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
GKW\gf\B aG
GKWPmAe GKWfBJaZ
OrISArIGWeKISkkjq`B``MhMfY[`MKa Sjq``MkrISeAFqmibkaLEj^a
O OZUeXISOY
One VMkrISAd_pYiEfeKmHn
RFEJQHZjBqkej OG\BBJQeBSBJQZqmQKZBRMS\gG
SO OFJQ
W Se
OE\SW_qYpM BR
OdD SFJaj^aLnLdWWEIKM
SV`` WSk[```
OrIG PD
\c O
$ OShaKKKKK
GKKWHZAFJQHoJaeKmRBMRBHHWHH rGKW\geBBHW
Sk`QgaS]CjKQj]S OGeKmZXmZJQESjZjQjBjjKZ]C]
WVMhH OdDOh``MhMKnEcGh
SAne OrIOSpYke_^neP_jLjdEknnAV
Sejp``MK SkTSHommJiQWk
GKWeJag GKVO
GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBR SOGKUBJQRBRM
Odhk On
OPpj^UeBMMB SebnTgf\BW_dKWeBqB
SeOff^[MKnEdEYj[MknIkFqbe OSdWfWeq
OE\jqmGiZQ`aj^E GWf
OSpcI`aDOGY^ SkTSHommJiQWk
O_ Sk`aZBS\g\
SOOnnL GKW\gPmiihEhPDj[ibeqmbomkUeKIOS
SArIGWkaS OSpcS]RjQjBjQj
GWB\aDk`agnG^ OrIOFBMSeJQGaLpQ
j^nUeJQh SkTgWRqmih[ihAibkaIk
GKKWWDV```` nDjp
E[ba OSENMO
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
VqqrMZ SkV_p`Mh``M
$ YP
GWBKmjkeiXRBRRM SAEfeBMR_
Sk^aL OSnXLQn
$ HSejMA
OdjYBk GKKWeIO
GWBKmMOKnh SOqbGgnWHB
SdgfeBHBHWHaWHHWW SAFBqBWHHHWW
OFqmhAQTBPmbBJQ SO
OnIffGKn GWkUdS
SAEeqmhPDRrRrRrRrRrRrRrjAQ pjK
OnXEW^ Odhjkei`
GKWfHIS GKKWPmb\SPmhEQWPm
N OnXMA
OPi`IH OPNgH
GqKq\SeqmkUfG OnXeJQdH^
GWBZkaI[U OFXISeV`
OZnd OrVI
SeeeAP mnV
GKWBCKIGKB OEPmQ^UogKKKKWe
Onej^aI[`MYVjVj^aaPIcK^ SAnX^caPLnLhK^^NF^b
$ GWHgqKgHZ
OZaIcFqc\GknqYkXHaKKWBBRSkaIkjqMkGG^ GKKWeIOZ
S D
OSqdrISeebkZfn OSdKKWGqMKnpYC
SV``Mh` WSk[
OGomBqmbBqbWeqmQV GWG
OFqmhAQTBPmbBJQ SO
SkWmhA\WPWm GWPmhPUrjPDjPDjE
Q OEW_qpMh
S fOS
OComPSQ^aS]RjjS Sj^aaPSj
OSh OPiRncIVcf`QHIGXH
OGPmb\Bff GWI
GWB SkWffPmibfGBn[M
PDK OrIGK
OZaaP] SkkjCSBjBj]
GLom\g SAdHoKmZBRSeBS
GKW\gBqmibHI GPmh[bBa[XTI
Ormd\SeqmiibWDeAG OGMeqLhEb
Sbn Skck
OPjKMblq GWBqmh[Qk
On n
OGBqOhPUrjPDRrRrjPUiRre SAddHoqmhPUrRrjPUrRr
GfG^nEcqjdgZn Sk`QZKmZJaDASENjpMGY`QgG^aL
GWWeBRMRRq GKKWkndKKKKKf\
OZSjKKZjQ OdESBj]jj]C]RjjZB
K OFJ
R SjdnXd\SogWeqmQTSGp`Mqe
GWomeJ OZaaaaAK_dWBJ
SkkjCSBjBj] OZaaP]
On`` GKKKKKMkUWoRJ
O dMA
GW bf\SnbZe
OrISj[^ OZ
GKWfHZH GWeKmD
TKKKKgKWPmimcKNhe SkkkcK^Nhee
SeOhM GKWoHKH
GnWPmL[``VMnKeKmhkLcn On`
Seee]fkSEjWfWMjdaX SkV
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW OZUGdd
SbY[MkdH^kRqBkdESNZ SjCS]RjBj]RjjKKZjZjQjjKKKZBj
SbnkOYkj OGMeqLhEbG
OneNEI[Mkdgkn Sk[ZMfQfGh`Mk
OGfHUIGKKW GWkodKgKKW
Sjp`MY SK
GKWeKmhbqAnIqA $
$ SejY^UeB
XKW\SPmh[h[TQTBkaSBjjKZBj SAGWdW^QnnLpcSBjBjjKQjBj]CBj]C
DW\SoYW\`WdHK GWfHK
OdeKmDAP mnV
KWeBNMMMBlHCW OFBMqRBHH
OFqmhAQTBPmbBJQj SOj
OFBMqRBHHW OPpj^UeBMMB
GWPmhEQ`aMbq Dp
GWH\G GWWdPmQ^aaAWBJQj
O] Od^Qn
n On
SAPjW\ OdSnLd[IKKKW
OEfeXmG AOP_Yp`Mn^UkUfk
SV```` SZjdZUWgfp
OdDe OnIfYkejjK_hUm^YkRhqBIUffffHZ
OSq SkjZ
On`c jGWk
OnIGGKUGY GWH\G
lOEPmQWP GKKWPmb\SPmhEQWPm
$ p
OPNGUomPmh[ dPm
SOqbGgnWHB GWH
SVMKnE P
Sk^UkUHaKKKWeqmibPmbHK SAnX^caPLnLhK^^NF^b^
OrJISbKnh\PjTgPmhA OPNZXIOFqm
SAZaS]jjjQjjQ GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjB
SV``Mh`` WSk[`
N SeA
GWHXmGnqCSjKKZjKZ]CBjOK SOnTSPmQc^kXESjZBj]jjBjBj]jjBj]Cj
OEWES XKW\SPmh[h[TQTBkaSBjjKZBj
GWBKmjkeiXRBRRM SAEfeBMR_
OoRqmhPDRJRrRrj[Q^nfjkeeOKUog G
SAGWdW^QnnLpcSBjBjjKQjBj]CBj]CBj OE_mkaaPS
GWWZJad\gPmiQ`aZB SOaYWf\\BBqR
SAFBqBWHHHW SdgfeBHBHWHaWHHW
JbqOGY^ SVMGYWGj`a^caA^
OdHn SNTBomPmQV
OVH^k`K GW
GWPmQWeBSHWgKWf SAGimii
OdDe hPN
OPNMkcKNF^NF^ SAnX^caPLnLhK^^NF^b
SV``M GW[Gk`[```MhMfGYWeXmDeO
GKKKWfknEjWWGn O]
On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQj SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQj
GfG^nEcqjdgZ OZnEcK
SAPi`ViRE GfWcLEieb
SV`MYk OdDebGkGBmBiiboSkaI`\aQJQgPmbkUHniIqHe
SjjWWH k]
SkTSHommJiQWk OSpcI`aDOGY^
Sk^UkndKW\Seqm MGWHjKGUPm
GWB\aDk`agnG^U GWf
GWHFq`agogKWPmh[QcK^^^^^NF GWWdSHK
SAZaS]jjjQjjQ GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjB
OSEjWPmXQ SAZaI
OrIOGWHFqcZAZnqjkO UcfYTSf\BHaKW\gBJa_hgUIS[G
EfmffbG OGG
SVVnfh SV
SjpMqA OSL
Ok_When GWeBSPmQVi
SO OFqmhAQTBPmbBJQ
SVMqOqeekKRq OSGP
OEgJQEIc^kIYKeBRB OnRhUmHIGWeBqRBWH
G GWPmQWBBSHgqcISVMn`Q
Z SAPNEaA
GWBBMB OdOHoBqMBHWWHHHHW
SAFBqBWHH SdgfeBHBHWHaWH
GKKWPmb\SPmhEQWPm GKWfHIS
Odd\ XSOqbGkPdiX
Dk Sk
SVMYcFqkA $
OGHW Ojc^dnXeKZogW\So
SAFBqBWHHHW SdgfeBHBHWHaWHHW
Orm^QUkaLhUIG `cG
Sjj`a_ GW\gGp`AMkGfXfH\Zn
SkKRKIGKWBJQ Sejp`MhMhMKU_Ja
GWfGbVcGYGQG SOK
OEG GfWcLEieb_
GKKWeIOZ OZaIcFqc\GknqYkXHaKKWBBRSkaIkjqMkGG^
GKKWBqmiQWkUmiQWGjTgW^ OEfBKmMjkRpQnp
p GKKWBKI
VqqrMZ SkWffPmibfGBn[M
GKKKWkUfBBqqSBqmQ`QES]Rj SAdLQURHWfncISbKnnSS
OGeqm OAZnlBgY
OGeBMRMS OGPhAQ^U\B
OEPmQ^UogKKKKWe GKWBCKIGKB
GKWPmQKZqmiiQ OPN_dKKKWGjTBGYjV
OFXIGKKWBBSeBBH GgKKKKW\BHg
GKWPmiibeJa_naPS SjYInnSBj
OSGhFqcK OFJaj
GqKq\SeqmkUf OE
kKgkASBjBkjKKZ SAZaS
GKKW SejUJ
GWkUW^QnE `KWUomkn
GWHgqKgHZ $
GKWeCBSBKmDkMG OnIG
SjYInnSBj GKWPmiibeJa_naPS
OZSjKK OnXZJaEI`QGaIWBKmj^aSj
GKWeKmZBqq O`BM
OZUGdGfW OGeKmDkkeVMYaK
SAZaI OSEjWPmXQ
SAFBqBWHHH SdgfeBHBHWHaWHH
GWPkBqmiQ`a OPjKhkkeAdDkK
OEWdeKIGWPmb EhWWg
SAFBqBWH SdgfeBHBHWHaW
Ormhjp` RFEJQHZjBqkejYp
AOP_Yp`Mn^UkUfkUB SjBfGnTS\BBBS\Se
SAdRUKr\IS_k` Sk`
GWHFqV_^nqkiRnQH OEPmQ`QH
SOh`Mkd SejqK\UHZbqkkjCLrpYp``IMqbfY^UW
SjY^nqke OnIfqV`MgKnnIkekV
GKWPm OE\EpYfPmii
OGkUeqmhPUrjPUrRrRrRrjPDRrRrRrRrj[QKjkRhISASnaAK SV
OH\EIHoXmFhVKMWY[jX SVMY^UWGnh^p
BOhSnqTBBqmhEh GWPmhPUrjPDjPDj
OPNZXIOFqmQ OrJISbKnh\PjTgPmhAQ
aG OE
$ e]
OEPmh[ CGWfPHmk[
_G Sk
SeCS SAn``aDk
OPjKMbl SjpM
OComPSQ^aS]RjjS Sj^aaPSj
OdNZ SbqAEe
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb\B OE
DnRhQgqTr OEGjWeB
G Oi`
GKW\gf\ SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb\
SOKa GWfGbVcGYGQGa
SdgfeBHBHWHaWHH SAFBqBWHHH
VqqrMZ SkWffPmibfGBn[M
k[I SV
PD OrIG
SKW GKWfBXm_ENMeAEPmbWEaAkAG
SV`YCMMf Onej[``Mh`M
OFKmGU OGBqmbfkaKaAW\g
CWErc OnX
W\hgeJQhJc\FXm^QnKqkX SV`MYk
SAEH DW\SoYW\`WdH
OGeKmZXmZJQESjZjQjBjjKZ]C] Sk`QgaS]CjKQj]S
OFXm OZaaaaAK_dWBJQ
H GK
I O
GWf DW\SoYW\`Wd
OE GbKq
[OFm SAGB
Sj SjjW
GfG^nEcqjdgZn OZnEcKn
OGfHUIGKKW GWkodKgKKW
CGWfPHmk OEPmh
S GWf
OrIBAnh\ SkKZJadffkUH\
OdZKHDbj SVMfff
Onech`Mknej^ OYaS
SK Sjp`MY
TKKKKgKWPmimcKNh OPcGkrmMk^aLhKNheeeeee
OEgJQEIc^kIYKeBRB OZaaA`aZBMBWHHHWH
Sj^aaPSj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjj
Od OnIfYkejjK_hUm^YkRhqBIUffffHZ
GLWf\XGB GWPmiiQ^aIKjjWWhbhM
SbY[MkdH^kRqBkdESN SOKaSj
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
SbKndI GKKWPmQkee
pOUX S
QMk SejY^UeBqB
OGfHUIGK GWkodKgK
OqmQ^ SjYj^
OrmDkKGUWjdGomfkTemhAFqomb SjdPi`Wf\B
YO^r`jYBGb SOGnTgHZOhMYW\SGqM
OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQaaP SejkecqjC
OGfPmbBBS\gfHFqVj[Mh`Mh`MGGY OnZWHh
GPmh[bBa[XTI GKW\gBqmibHI
GKKWBKIO pO
GWW_dWknpc dGWSBX\AHqmbGC
SjjW Sj
RbTOQ SeVM
GmeBRYD\SeXIOFqmhAiiahEi SjkIY[MGkFqmihPDRrRrjPDjA
XSOqbGkPdiX SV````MqOqbGhMn`QgkUf\SPmbPmiQW\
GKWPmiQ[`M GLWf\XGB
OF O
OSh F_FB
Skcoqmbkn L
SjbLXaKG OEk
GWBBSHFq`aHaWfe SejqK\UHZbqkkjCLrpYp``IMqbfY^UWZ
OlK SV``MGG
GWogWG SOj
OEPmbBBq GKWHUIOFJaeKIOGWeEBq
GWeJQeJQhAFXISOhMhMY[` WVMhH`
GWeBSPmQVi Ok_When
SOkEBqmh SeBjj
GWWRJQdka OPcRGhMfkdEaP
OEeKIOE\BkU Sk`QjdVeKmg
SV`Mn[ GWBZkaI[U
Sk _G
On`[MKUo Ui
SdgfeBHBHWHaWHHW SAFBqBWHHHW
GW\UB\o GKW\gWH
OnRE_BGG SkSpYpM
SbKCff OnecknXHFqVcY`QeKmgkaI^U
G Sj
OP_^nnLqCLqCLdWBBRqqRq O`B
SkV OFqmbBJaHZjYbMY`EhaGUW
OFJa SVeOKUn_Yjkb
O GW\SBWMAFqmihAbWH^d
Sbf OFeZqmEQ[f
SkWe GKKWWDV````M
KhSKWKI SVMnKhArI
SASpcLEc GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM
OZnEcKnpQ GKW
SkkV`M SHjVpMd
SOKaa GWfGbVcGYGQGaa
OEGjWeB DnRhQgqTr
GW\OgBq OFq
OGBqmbfkaKaAW\gf OFKmGUf
Sejp``MK SkTSHommJiQWk
On`WPmiih[ OGPmhJ[
SArmNW SbkGo
OGfHUIGKK GWkodKgKK
GWHFqV_^nqkiRn OEPmQ`
GKWWELpcSjKQjjKQj]j SjYInnSBjB
OnIhMfYVcnKeBMS GpPmChoAbA
OP_^nnLqCLqCLdWBBRqqRq O`B
\ $
SkKZJadffkUH OrIBAnh
SeeVMqAGknEdG OdjpMYc\EPmhAQkk`Q^cI^
Sk[``Mfn`a_dKKKK GoV
SAFBqBWHHHW SdgfeBHBHWHaWHHW
XKW\SPmh[h[TQTBkaSBjjKZBj SAGWdW^QnnLpcSBjBjjKQjBj]CBj]C
OPcRGhMfkdEa OGPmhPUrRrjEQ[MYKGaa
SOGKUBJQRBRM GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBR
Sjj`aeXISOqbqjj On]nSog
SkYV`F Sej^aaA[`
bO]SWK^KNh OPcGkrmMk^aLhKNheeeeeee
GKW\g OSdWBKIOPjTgfepJ^YqM
SOGnTgHZOhMYW\SGqM YO^r`jYBGb
OEBBSG^MaA G
SgOffq GKWBJaGaI[
rGKW\geBB GKWWgBqmihAQWHaWeBMBW
OdRB OFXIGWGYV_CIcUmZBqFq
GWkaaAkk GKWWWeqmibBXmMV`MY
Sk O^YCaA[`MqjkXRXmEI
GW\BBXmRJaHI mVM
OENGBkPNd SkTSWRKIGKKW
SkcaW\BWMOkZUHK^NF^^^NFNF TKKKKgKWPmimcK
GWW_dWknpcS dGWSBX\AHqmbGCS
SOY mn
SAdRUKr\IS_ S
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj On`TBfkaSBjjQjjjBjjKCKKZjKKKKf
NSVMY SkTSGj
GKKKKK Ojc^dnXeKZogW\Sog
OSEiX^c SOOnn
SeCS GWG
f O
nnKNZJa_ SOGfn^aaPL
OPcnTgo GKKeqmibGYk`K[OQKnEiXdBKmeJQ^YBYWHUIOPNG
GWPkBqmiQ`a OPjKhkkeAdDkK
SCeVMn[MfGKaaAK OZUfk
OcPjkk`QdBBqMSHKN Sj^UHK^N
SAP_Yc GWH\Sq
Sjp`MfGKaaA`QRBRS\gG OdhdHW
GWHF $
p $
SArmN OdgkUPmiihAihPUrjEibWH
GWfPm dPm
OGPhAQ^U\B OGeBMRMS
d OPN^
GWH\FBqBHHWHWHHHHWWW OdOHoBqMBHWWHH
Sjj`aK\BMS\Zbkne_dZaS]RjjK SVMfYKESBjj
OEGjiOk_cKnEc GWf
GKWo GWfR\gio
\c O
GWfGbVcGYGQGaa SOKaa
Sjq WSk[``
^G SejdZU\B\BBqmiib
SVf`MqbfqejBYWPmobQBBSeqpih SbqbKUHgqTSPmhPDRrj
G OEBBSG^MaA
WSk[` OFXmRqmQKDASqY^aaAkVMh````
SbKaIcIOFX QOdgeXm^QUPmhAh\KRK
GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBR GWeBqq
OrIOZaa OnOdW\SGdrIOPG\S\geJQELna
DnRhQgqTr OEGjWeB
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
OP^YBYWWeqm OGomG^UHISk`QdPmii
SOn`QhbY Odl
OSdWHni`[ OGPmhJ[Q[
OdjdZ OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQ
OEPmib GWDUkaNIcaK
SdgfeBHBHWHaWHHWW OdgBBBHH
S OEGjca
OGBqmbfkaKaAW\g GW
SkkekTBBqmQcgq pjK
GKWBKmH^BKnp GKdKWBmH\P_kXNph
GPmh[bBa[XT OFK
SdgfeBHBHWHaWHH SAFBqBWHHH
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM SASpcLEc
GKWBBSW_nL ^OS
dGWSBX\AHqmbGCSj OFJaHUmg\BHncnTBBJa_nSjZBjjKZj
SkkbhMKndWPmiQcn YW\\I
OEeJad aIVHm
GWWeBRMRRq GKKWkndKKKKKf\
OdHn SNTBomPmQV
OrmeJMOn^npcLqYC GKKKKKKWWE
OS SOkZUGYCaAK^YBkSL
OFJaHUmg\BHncnTBBJa_nSjZBjjKZ dGWSBX\AHqmbGCS
GNeqmbHNFN SjkRhKN
OPcRGhMfkdE OGPmhPUrRrjEQ[MYKGa
SjYInnSBjBjB GKWPmiibeJa_naPSBjB
OnOdW\SGdrIOPG\S\geJQELn OrIOZa
SAZaS] OrmeJMOn^npcLqYCS]
GKWknh jGWk
ZjdSnWIW]ZqmiKH OEPmh[Q`QdWeKmMkV
OZnf GKWBKmH^BKn
fO $
OFJ SjkqIGKaaRE`
D S
OZUknd SVKgGqMncQUWELEiKaL
Ln`caKKKKKWG^ah\k[` Sjp`
H GW\BBXmRJaHI
SeAn`KH^YYk OrIOSpYke_^neP_jLjdEknnAVi
OIaIK OFqmQK
GWogKWHUmhV OdgGp`e
mnV SeeeAP
OPiInK^QUBJ Sjm^aaPQLqhjT
GAfGp`\ Sb
Skkk[ OGPmhEk`Mfph
SjjcaKg^fomBSeqmhEni SOkEBqm
Orm^QUkaLhUI `c
SeAn OFYYY`M
SAnecfGYkj^nnIVj SV`
XSOqbGkPdiX Odd\
GKWBKmH^BKn ^OS
SOfKUH^pMh`MGGKUHISkVNDj OGGkXREiXGnY
OGfHUIGKK GWkodKgKK
SjCIcoKIKWbk SOK
OZaI`agogKWGk`^UBX OEPmih`EihPUrRrjAihPDjAhEh[bWMAEBBMqSknhWmoV
GWHFqV_^nqkiRn OEPmQ`
SOfYWH SArmN
GWeX LA
SAdRUKr\IS_ S
XSOqbGkPdiXgG OGfWj
GWBqmh[Qk OPjKMblq
Sk^aLp OSnXLQnp
GWfGbVcGYGQGaa SOKaa
rGp OSEcncnNeqmih[ib\gWMjk``QZ
kSOYcW OnX
MOEBBMXBHH SAZUeBMBWHWHHH
SAPieiIKUfkaL n`KdOk
OnX kSOYcW
GWPkBqmiQ`a OPjKhkkeAdDkK
Sb GAfGp`\
OSp OE
SVVnfhM SVM
OnOdW\SGdrIOPG\S\geJQELn OrIOZa
SVMhMn[MGfnVjKpH\djCgIkKP SAdgkUBXISOY`Q_h^ke
$ Odj^UBBRS\geXmGaaAWomWMA
OrI n
O IA
GKWkUHK^^^NFN GKWHK^^NF
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
jZaaPIT SkW
