25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
\]`JLHaa[P`SW^fRAJ fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k
L\ SehFkc
AKTJkcQXpT\UPXke[Xkikikike[ZX ScDePlV_F_S]FeM]olib_OUX
jUGAic[ JkG
Aa [h_DDO]X`gP
\[ ]P`
\QTV FJJ[hFkn^KT[Mah_
SeW [dKeRkKhkPl
\hLokF]DD U
JGjP[aikq[ UG
\QT YrkK^LoFkYeFjW\]kXXTrDT
[LHIOTYN[\ AKTfYeSQ`]ToRTbjIOTPT[ij
ScDePlV_F_S]FeM]olib \hh
\Q\Sgh FJJUpahhkWiHg[\g[VkL
fchh \HT\hLoI
FJ\NQTSDT \QTrDg
FNJQFJJUVDO]`SJKTS S
FJJSXD UWY
fpa`^a`SW`SJLHT kGZOWnSJKTAP`^P``^P`^KT
fNV Jkc[L]`SJKTS
FJJFJJ kXWGZTkRpHJ
I ALHHJ
^UXTD \QTrD
SOh SGUd
oFJ^K\hHgi[i [F
FJ\[a`SJa`^P`SW`^a`SW`^a UX\SrQTgQikdNTOHa[P`SJP`SW
Aaq Upa[KTfpL[a`SW`
UNTO[KTUNOWn^a GN\]`SW`^LHa]
FN\HHJUVkTrDERpHJFN AL]`KLpOH\QTDTc
UVO UXRVOda
SehkS AaT^KTfKPlM
YGJR JkGXkikikq[Xkikikiki
SeFkF_Dedp a]KdpaHH\H
JkKPbiP\Ej \]`KW`^L]`SJLUWYedVDeS\EjLejeEj
JJAKTAVEhS\jr [SYEj\Ejr
Aa \[P^LSJPS
^[RUH JkYOU
fpL[KTFJJ[W \UpTDJFJJ[V
SkRPa AaF^a`dKTSedPP[oXki
[FjICYT[VF J
UVDDeLHWUEkSeEj [S
SOUG UPq[P[
SkXXXXRVD \hkh_
\QTVkDgSDET UXXT
N FN\[P`^LhPlibFkRGic[P[Xkq[aike[ZNKhkhFkcU
UNONTDePbG]TbkSYEjeEjYEjeEj Aaa`SW`^KTJkchdXRGZONNnKTUNNBSc
JkcQRWn SDO[MKTWokSeE
[WG]o UpahS\EjQob
ALhhR`]obeQ]]`obo]OQlWm AYkl
U[pH\hWMehEjYEjQ`]]o fKP
$ nchRkpKb
AKTJkG UPXkike[Pae[ic[^e[
UPZlZTkRXXp FNGJfYOH
A FJJAP`^J[^KTAL
\]idc[Tk\Rak \hWeM```o
JkYeSQ [hjIPTPT[IOT[\IDT[\IDT[iRj]]`olg_S]Kokh_kXiNNKFR]``
FFN\hF FNJUPic[ZNRVDeh
FJJ FJB
\]`LHTQm f
SDDO]`^L]`^TL]h UVeFFknSJa`SW`
\hFkSQ]``Tg\W\]kTrD UWnSW`^Q
SehkS AaT^KTfKPlM
[SQolG]T f\n^KJ
[ Sq
N[ \UVe
AAKUGae[aq[Z UN
UDZi UWGZ
FJ\hRkeKh]OhRkn fRX\Rkn
Aa`SW`^LhSQ`TP \HHJS
FJJSQRPae JkYkTrDEXXRGP[P
fY \oNlZTkXV
UWYeFjIDT[ikFkh FJJUpahhkWiHg[\g[V
fKYKLDkd SDkXpT\U
KCX [hkdpH
f Lf
hfKP FNJSeFRo
UmTrDED\Pp [LPYE
UNNE [PlibFkGZN
$ Se
\UVeWr \HhPloR`obGolr_G
SD \QRW
[F_kP`q[ \QTVkDTSDEXPZlXkike[P[Z
fcUCXNlaikq[ZTekKS\QjeEjYSEQjQ] SeLHId[\W\R`
[FRol fc[a`^P`^P`^LUVedVOQXNTkW
fpLUWpK eJkpaLB
AKTUpTJ[Pb UhVdkKW
FN\HT\UVDe FNJfRpHFfIQYe
FNJJkYeSrho_edPP[aq[ZOPaq[Xke[ZX SJ
FN\HT\UVD FNJfRpHFfIQY
\HahhRTg BHYeLrhR
[ XdpVh
[LbkLPeEjeEjYEj\EjeEjQ``olihjqqq SDeLg\W\_DePlMmjq
[Fjg[\Z\_OUNTOQXVeLojId[ikLHIdPTPTPTPT[i \L]`^Lh
\PFkk\EojrhH\_UXp Up
JkYDO[P`^KTfchRkKS I[dLP
JkGikikikq[Xkq[ZX UNXRNX\Pbig\g[iRTb]k
lSkRpT\[KTfY [FjIOT[\IdPT[\gPT[i]D
SkRP g
\HaQlWmWmWm Skl[GWW
SDklmW JkcQRkRPZTklOmmmmW
FNJ JkRiae[aikq
UTPZXWcU fR
$ \UpahhjW\jIdPT[\IDTPT[\g[i_DO
\ UW
[Sejrd [S\Ej\
[RkcUNN R
SYDkTrDOgr Jkc[KTAKT[hFkGZTkTrDTSDTr
FNGmJXpTJSDgeFe fY
\UpTJ[hkPbMg frKPbMg
U FJ\Uj
\[J[S AKTJkpLQ\PbcToFkRO]`So
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike FNJ\hdGXke[P[P[aq
UGPCP[Xk [dPXke[ic[P[a
UJVeRTgiF AKT[hkR
AKTS JkKSeEj
Q\]` Aa`
f r
[LHgPTPTPTPT[i [g\g[i
FJJSX SD
fch FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRkK
[dpT\Q\F]DD kGqPXke[P[hZ^hOV
SDOhLg\Z\kWG [jPlp`]
eAJ[^Lh fRVkXVe
AKTSNRlRPP fGaq
$ FJJSDD
AP` AQJ[a`Q
UV AKTSDeZFB
[dVk\AlQTdPg \hSeEjr
[F_DkT ^UXTDg
UGic[X UrX
SOQ\SQT fYk\SghoDkdVeL
FNJJkcQX \VDkIX
S AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDD
YrkK^LoFkYeFjW\]kXXTrD \hF]OUWnSJLUVk
$ Se
AP`^KT \]f`SJP`^a`^LHUJ
JkGP[Xkq[P[ZlXk o\UGXPM
AP`SW`SVJP`^K AK
cJF UW
JkcQXpT\[a`^KTSDeLgikdNX\Sgmj ALhSmj
[eQo ALQ\P
\Q\h]e\RkKdXXVO AL
fGi jUGAi
fYO ScDePlV_F_S]FeM]olib_O
JkGikikikq[Xkq[ FJJJkG
fmk SkTclDTckD
SDkXW OCfR\
fYO[P` fg_n
UWpLHTJfGXke[P[ZOGX UPnX
SDkX SedVkXr
FNJG UPaikq[ZlP[Xke[iPEc[aikq[ic[iPEc[Zl
UpTJUWGP[Xkq[Xkike[Xkq[ fYkXWYQNUGaq[
FJJ L
JFNl[a`^J[^P`^KT $
$ SGOhdpHJ
SehFkK DhiJ[_Rpa[P`^KT[
[h_DkRW FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRk
SWh`Sj` \]`^a`SW`
[dVeFkSYEj fKJS\Ej
SmDe_eLHW\FkKRkUdVceW\ FJ\UWRXXGXke[ZXRWpKTSePleMob\
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``T fKhkPbeQ`]T
JkGZXXN $
UVDOQl fGXleWammWmWm
[SrhPrho_O]`SJLL]`SJ UNOpaHHJ\Ha[P`^
FJJFJ kXWGZTkRpH
Aa`SW` AIP`SW`a`
FJ\hLo_PeP SeP
AaT^KTfKPlMeE SehkSeE
Jkpa`^LHTL JkcHH
FN kGZOWnSJKTAP`^P``^P`^KT
UGZNchWG`````oloR]Tod_eFR UNNKFR]`Tb_ePbG`]
paE^KT[ [Rkc]`^P`^KT[RkYe
\]`LHTQmRp FJ\H
oXXNNRGa fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik
fpa`^KeSFjj SDDk\Plg_]G_FeQ]TPghg
$ J
[P`^P`S Upa]`^P`S
JkpdThDOQXG fYedNTkXNlaq[
ALQ \maQ
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[ JkRG
KhSQ [Wo]eF_eWibR
UVeWi SFRT
SO U
$ fKh
Upa[KT[ FJ\Neh
SO]`^P`SW`S mS[l`Sl`^PhS
[FjW\_eSQobi SOhSeEeEjMR]`T
fpa`^P`^P`S FJ\[KTfGXkik[ZlP[icc[ZNnS
[RkKh]DDedPaik FJJSQRPae[Xk
AP`^PO`SW`SW AKTJkpP
FN\LHaQl SkXVOQXWcHHJUXRXlWWmW
SOHHJFN\Ha[P`^P`SW \[P^LSJPS
fcQRXRN UDZi
UGZOPaq[kP JkRPP
[FjICYT[V UWKh
UGPo[ZTURkYDDeSeEljnhg\g[\ fYkRpH\hFj
FNJfKhFkRKFkn[SW`^P`^ A
\]`^LUX JkpdThDOQ
HgBfYeP FJJSeLg\gPTPTPTPT[iRol
ic[iPE fGP[ZlP[P[iPEPEc[ae[ic[Xkq[i
FJ\KXXRRGiPEc[Xike[Zl UG
ZeJkp SDOhRkn^a`^
A o
$ fKh
UPXkike[Pae[ic[^ UXXPXkikq[Xkq[Xk
$ \HH\]`SW`^L[
okn^a`^P`SJLhhR``]] UWKhRobG
\UVD Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_
q[ \]`^a`SW`^J[SW`^
\UVDDOQXNlic[P[ZTePl ^e
$ FN\]`SW`SJJ[^Lh
\]`SW`^K J[SJP`SJa`SW`^a`SJa`^K
FNJSeFR [eQ
JkYDeW\jQ` Sk\LgIDTPTPTPT[\Z\R
F \HaHaHH\]`SLHH\[J[^KO
[F_eFR`o FJ\hF_k\WeMTokSYEj\EjQK
SeZFRdqV FJ\UVDO[a`SJL]`^P`SW`^KTAP`^KTJkGZNRWYD
$ fYOWTJ
fYklm fYDDOLQlmmWW
FWNhLP\EjghK JkYeL
fRWpLHT\]`^P`SW SDk[\RkRNTO]`^P
JkpLhSrhfZ\eaOHTaUPa fKRkGae[Xk
\oNlZTkXV FNJSDD
fDieg \UVDDe
UGaq fKXXPP[JP
JkpP`S SDDO]`^L]`^TL]hS
SeRk KhJkdW
[LH Y^r
paVQWcQ \HTJFJJ\Q
\ UW
UNX E
\]idc[Tk\Rak [P
[SeEj\EjrhHIDT[i]DDDDed `F
UVkXVDehR`ibFkpP` fc[a`SW`SW`SJJ[
Jk [F]DOQL\dW
UG FJ\KXXRRGiPEc[Xike[Zl
fm JkY
Aa` FJJfpP`^KTJkn^P`SWP
SWWiP\Ej [LP
fKD^ FJ\]`SJP`^K
Sk YrkK^LoFkYeFjW\]kXXTrD
fKPlMeEjeE \hSE
[RSkpKT $
UNT SceF
FqLfKTJRW [RkchFFk
fKXXPP[JP[P[ FNJfRVedPiPEc[ZlP[
$ [hl_
[RkRNlP[P[P[ O]`DSW`P`^LQPiPEc[
fKS\E SDeSghP\S
fKW W
VFB FJ\UPZTDeF
UNTk\dPimP UPP[aike[aq[iP
UkNa \UNTDDO[P`SW
bkYOHTg\]`SW`^ AJ[SJ
FFkRpa]`S FNJ\]`S
\QXGi[Xkq[DP[ai SkRGaq[ZTkRNOGP[Xkikq[X
SpUWGZXXXRGZlP[P[Xkq[XkNke UNlP[P
D[iS fKSghbFkcQRNNnS
Upa[ fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`SJ
$ fKh
\hS \UpT\hWokS\
kXWGZTkRpHJ FJJFJJ
UmTrDED\Pp SOHaHahLPeE
JkGZOXPP fcUGic[ic[P[Xke
XAAM[SSX`SJKT \HT\
\hFkhFkGaikq[aq[Xkik jUGAic[Xk
Jkkc[PO AL]`SW`S
U`GXke[iPE UNNRPi
ALHH\]`SJKTJkYOH SO
U`p \H
[LPeEjQo UX\LbPkP
FJ\hF_k\WeMTokSYEj\EjQK [P
mLQ\Wg_ UWKFkLokhR`obr_SSn
JkpK FJj[c
AQKT FNJ
UpTJUWGP[Xkq[Xkike[Xkq[iP UNTk\dPimPEP
[FRT Sk\WMoEjeEjgh
AKTSkX \hLHIOToH\i]DOhd
[RkKF]D UWVqDC
FN [FjIdikdKXRp
S FJ\
SDkXpHJ[hRTHgPTP APSW`^KT[LHg[\gP
ALQ fcHaQRGZTB
\]`SJ fYOQRWYkT
[Rkc]`^P`^KT[RkY JKrkH
[ UV
fG UGP[Xke[iPEP
SkRGP[Xkikq[Zlaike[aikq[ic[ZONTO[KTFJ\hF]Oh fc[a`^P`^P`^LUVedVOQXNTk
SOHT\]`^P`SJJ[^KTFN\]`SW`SJP`^ FNJfKhFkRKFkn[SW`^P`^
[hR]TokSeE JVQkKhkdXaS\E^
SDeLg\W\_DePlMmj SeRkKWg_SnSFG]Thjq
\HHJJkcHaQXWfP[iPE[Xkikike[P[aq[Xkq[Kaq[ZOWYeL fKL
AJ[^KTUpHJAKTfYeL ^cjg[iR`obG```]K``]T
FJ\Uj SkRVkR
\HTJfn \]X^a`SE`
SDOQ\dNOGZXXW UNNYaNN
fKdNNpKT\HTJFNYJU fYkR
JkchRkESghHW\_eSQo fKP
FN\ Yn^L
oHcY UNX
UW UPic[Zf
fpKTSedpa[a`P FJ\[L]`SW
\hhR```] UmTrDED\PpjQ
SOQ SDkXpT\U
[hl_ $
[PiR SOQ\SQT
^UXT [h]OQTS
AKTS [LP
FN\]`SW`^P`SW`SW`SJa` a`SW`
fK [U
o\UGXPM JkGP[Xkq[P[ZlXk
kYehR]] [SrhHgPTPTPT[iR
U UXR\H\HH\U
\]`SJP`SW`SJP bkYOHTg\]
JkRNONTedpHJAKTfRNX\SQ]obV SJJFJ\QRWc]`SJLhLoFkpLhPgbmjqA
fpKTAL[ [
FJ\hLo_P \[J[^KTJkRV
JkKSeE SDeSghP\S
UNlP[P[Xk SpUWGZXXXRGZlP[P[Xkq[XkNke[Xk
UZlPC UWGP[P
JkYkXXTVlEDERpaHT\H Up
FN\hWGTPQ``ol\jQ`obG`]` [kWT
\[P`SW`^L] \^`SW
fKSeEjQThj SDeLg\W\_DePlMmjqqq
FJ\hLo_P \[J[^KTJkRV
SDO[KTUNXRNXRNNchhkSQ`obV kOPMW
JkRPP[ UGZOPaq[kP[
^cjg[iR`obG```]K``]T AJ[^KTUpHJAKTfYeL
UGZNchWG`````oloR]Tod_eFR` UNNKFR]`Tb_ePbG`]`
UP UNOQNN^
Kh Skl
\[J[^KTJkRV FJ\hLo_P
AKTfR UNBR
AP` [RQ`P`
ALUGZTO o
L[RkpP`SW`^K^T fn^a`SJLHH
\QRXU [h]k
ALUPXkq[ZTk\FRTPYEjQobib]edVDk\dVe Sq
SceF UNT
FJJKT\g`SJLHHHJfK JkYDDe
FgN\UN UN
J_GZX\LP JkchPbMeEj\Ej
fRPiPEc[ZXTcM AP`qaTJ[
[rLgi[k SDO[KTUNXRNXRNNchhkSQ`o
Ff FN
SeRkGP U^aqikeq
hFJ\ \HaHT\UpT\HTJfcHa
UGXk[iPE fcUGiPE
FJ\HH _J
\[KT\hPb UPTehDehRd`olNSI
FJSklWqmWWWWmmWWWmWmW FN\QlmWmmW
[FFkYDkRPZONl JkpdThDOQXG
SDk Xm
\UGXkikq[P UPe[e[ic
fRX\hkLbR`]````TokSrmj fYOhWGo[leM]hj
[PbeQ`]olG``TPrho_kXWcUVeWMQo ALUiPP[ae[P[ZNKh]ehR]]o
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[ JkRG
JkRPXke[aq[P[Z fGZGaq[Z
AL]`SJa SDDO[UP
SDkXpT\U `F
[h_DkTrDT UjpHJ`ULZTk`
SOUpHJFN\Q AP`^KTfYOUNXT
JkYk UVDDrF]kRXC
FJJJkRXRXlmmmmmW AKTFNJ\HT\HallSm
UGXke[ZNGi U]Ric[aikq[ae[Zlic[aq[P[iE
SOQXVk\ FNJI[
FN\[a` AKT[hFkn^KT\UpT\a
U AKTSNRlR
$ FNJAKTAKTqJkVOHH\QTrDEXpT\
JkWMQobR`THg[S\IO \hdWc[KT[LgijgP
JkpKTUVeh]kRWcUW gJk
f \HT\U
[h]OQT fRPaqP[ZXT
UpT\QXWRVeFFkKPl ^e
\hdPP[ JficZP[
FN\Q\dV SSD
SeS\EjQ]] Sk\LgIDTPTPTPT[\Z\R
AKTFNJ\HT\HallS FJJfYklW
JkKp SDkRWYe
^e UpT\QXWRVeFFkKPl
a`SW` FN\]`SW`^P`SW`SW`SJa`
SeSQ`To]kRPZl JkGic[P[ZlP[P[olP[P[Zlaq[Xkq[
\QlWmmmWDmmWW JkKh_O]`^L[LQlWmmm
\[ JkpP`SW
\]X^a`SE` \HTJfn
S[LbQkRNN]kG [RkcUpH\UP
UGXke[ZN FNJ
FJJ\UPXkq[Xkikq[aq[P[ae[ZOGZlai JkGZlP[XkeD[X
U [RkKRknSW`SW`^P`^KTf
A FNJfKhFkRKFkn[SW`^P`^
OFW\Y]n^KTS S
FJJFJ\[a`^KTUWRpTJALQTS AL]`KLpOH\QT
n\[OVT FNJ
fGP[OVOhPloR JkKhR
bkYOHTg\]`SW` \]`SJP`SW`SJP`SW`
UX_ATOUUXkq[P[ZOP ALUP
Jkn^a`SW`SJKTUNNYDO]`SW \[P^LSJPS
fdq JkYedN
UPnXke[P UNOGae[P
U SDOQXUQ
[PbeQ`]olG``TPrho_kXWcUVeWMQo ALUiPP[ae[P[ZNKh]ehR]]o
AJ[SJKTSDeLoRTHgPTPTPTPTPT[\Z\ [FR]oRbd_Fo
SDOHa]`SJLHaHH\Q\dXXPXk AJ[SJKTSk[XGP[aik
UX\LbPk UVk\
JkcQXVOK]`SJJ[ fnSW`^P`
\hh ScDePlV_F_S]FeM]olib
Aa[`SJK FNJFNJSedNTOH
fpLHahhjg[ijW\kF_eFj fpa`^KeSFjj\gPT[\
FN\]`SW`^P`SW`SW`SJa`S a`SW`S
U \^UWqP`SJLHHJfnP`JP`^KTfGZQTed
SDkRWpL] ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di
SedpT\HHJSDDkTW fY
SDklmWmmm FJSklWqmWWWWmmWWW
\hRFkRpHGJ[PbeQ``]T FNJfRVeLgikL
\UWc]`SW`^KT[h]O[KTUN ALhdX\dNCZ
[dVk\AlQTdPgh fKL
FJJSeLg\gPTPTPTPT[iRol [W\Qolg_SnS
O]`DSW`P`^LQPiPEc \HT\]`^LUNlP
S FJ\[nTJkiOUVeF]
SDkRWYe JkKp
JkGaq[Xke[P[ JkGZOXP
APSW`^KT[LHg[\gPTPTPT[ UWYeF]eLHg[\IOTPT[
Jk k
I ALHHJ
\[J[^KTJkRV FJ\hLo_P
SDOH JkRVO]`^LUNNn^
\[LKUNTeF] S
kRPZTkXPZOXhYkdGQeP[ \UNNGaikq[ZlXke[Xkq[
\[LKUNTeF]k \UX
Sehk JkNn^KTZ
ALU SDDOHTJfKLo_eh]OHHJNJJFJJ\QX
fGm[iP SedGXke[iP
FN\QXVD \QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYD
JkYDeW\jQ` Sk\LgIDTPTPTPT[\Z\R
FJJfG fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[ZG
AP`JBSW`S \[P`SW`^L]`S
[PlibFkGZNn^ AP`^PO`SW`SW`^
fmkT SOhFkF_DkT
\hSE \UpT\hWokS\E
JkpdThDOQ \]`^LUX
[hRTb_DOHTJALUpTJAa`SW`^KTfGXke fYkXWYQNUGaq
fYOHJ]`j Jkn
Kp FJJ\]`^K
JkcQR fN
UGae[P[i qSkRGiPEPEPE
fKP U[pH\hWMehEjYEjQ`]]o
fc]`[ AP`^
[h_k\hRTP\EjYE fKSY
$ d
FJJSeLg\gPTPTPTPT[iRo FJ\hF_k\WeMTokSYEj\EjQK
FJ\[nTJkiOUVeF] S
\Ha] FVJFN\]
SedVkXrV FNJfYD
$ AL]SW`^PKT
AP`SW`SVJP`^KT[ Se
\]P`^KTJkKdX\ \hLokF]DDe
\QRVDDDDO[a`SJLHT\[a`SJLHTJfK J]eb
fKL \lpUHJjgJL
Seh]kRGic[P[ZO ALHa]`SJaa`SJKTSO[LQX
fK \HHJJkcHaQXWfP[iPE[Xkikike[P[aq[Xkq[Kaq[ZOWYe
[dPfZlNXkikq[aik_ke[ZN Jk
[dVeFkSY fKJS\
AKT\HHJJ SkRVeWGobV__S]SnSFo]BeR
[Rkc]`^P`^KT[RkY JKrkH
AnHJfnS]` Aa`
JkKhjgPT[i_ OD
UVD UNOGZTeRkGP[c[P[Xke[XZT
JkcQ\dVO[J[SJP`SJJ[^KTSDDe [dKeRkK
[Lo fchdITmehjgPTPTPT[i
U\]`SJLHHJSeS\Ejgl [FjW\kL
\[P`^KTJ UGP[Xrq[aq[icZEOhFF
iN\HHJSOHH\HT\h FJJSe
SFR [PleM
UPZlZTkRXXpH DDkAT
fcUNNRPi Aa`^KTJkGZONOGiP
SeS S
ep`aSQTrDgVkDgV UPP[ZlXkike[P[Xkq[ZXTVlDTrDgV
fcHHJfGZT B[KTUVeLb]
UiH_XHad AL
FJJSk [Pb
GKTUPXkq[Xka[ZlP[aike[NpP`S fc[a`S
JkcQ\h_kTV [h]eFDkTrDX
SOH FJ\hdGXCkikq[jOXXp
\UpTDJFJJ[V fpL[KTFJJ[W
AKTfYQkRGXk] UNNGXkik
fY J
$ JkKT
FJkHHJUN \[a`^LQX
FNJ n\[OVT
JkGaq[P[Xkhq[Xke[c[aikq[a \hFkhFkGaikq[aq[Xk
\U [F]OH
F\[KTSePi FNJSeFRo
SDD OD
UNNKhRobo_kR YSOUkH
fc]`[P AP`^P
JkcHHJFN\QAGP SeRkGaq[iPEc[aq
JkYOhLojg[iRTbjT[\Z\jW\R]ol\jQ [SrhbR``TbR
Up SDOQXUQp
Skl[GWWW UXlmmW
[IRmpK^TFNJf JkGZTeRk
FJ\hRkeKh]OhR fRX\R
[RkcQRPP[imc FJ\QXGiPEc
AaF^a`dKTSedPP[oXki SkRPa
UGZNchWG`````oloR]Tod_eFR` [hkhR]
lSBEj fKWGolioR``TP
\hSQ`o UWpGhhR`]]`o
\[IKTUVDeh_O] AP
AL[KTUpHJSJ\[a`^ \[
i FJJ
DUVkRVOQRNN UW
[PlMYEjQ``olr [WG]or
\hdNIO FNJFNJ[PloFkc
UNl NX\RkRP
kRNl UPaikq[ZlP[Xke[iPEc[aikq[ic[iPEc[Zlic[
SDeSghP\S [FR]`TPeE
o\UGXPMe JkGP[Xkq[P[ZlXke
[L FJ\
fKPlMeEjeE \hSE
[e FNJ
FJJ[FkhjgPT[\IOT[\W\jgPTPTPTPT JkWMQobR`THg[S\IOT
UNOGZTeRkGP[c[P[Xke[XZT FN\hLb_
UX\LbPk SOhRkn^KTSeSghojIdPTPTPT[\g[i]e
SDk\Wr GESePlg_S]lG
SDDed ^UeX
UXIVkXPZ JkGic[Z
JkGaq[Xke[P[P JkGZOXPP
\QRVDOUGic[ UGXk[
fn^ Q
\UPXkD UNlXk
fpL[LUGXke[ $
UpT\ AL[
IAQJH AKTSeWV_]
UVkT \\hLo_OQHH\QTN
Sk\ \[hhk
[dWGlq[PH AKTJkcQXpT\UPXke[Xkikikike
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[i JkRGi
\[L[LUV SceFD
UNX\SYEjQTokPlio [Lg\W\\DD
Jkp J[
AP`^P UPNnCW
fRGZTOQRV FNJQFJJUVDO]`SJKTS
\]`S SDDO[UP`S
FNJfKhFkRKFkn[SW`^P SOHT\]`^P`SJJ[^KTFN\]`SW`SJP
\HH\ZKTTJkSRVl FN\UXlWm
[RkcUpH\UP S[LbQkRNN]kG
[dXXNYlZN_ JkGic[ic[Xkike[Z
APpg SO[KT
APJKTJkRNla[ZNGZlXke[ae[aikq[ZN f
\HTJ_ Aa`SJJ[^L
[SYEjg AKDSDDO]`^KTAKTUVDeWMg
UNOPP[Xk YGJRk
JkcUPae[ZNKLHZ\FkGP FNO\T
UNO \QXNOP_
A [dGXke[P[ic[ic[ZNnSW`^KT\U
FJ\hFOhd AL[LQ\dX\dN
JkYDDOh gJkK
$ FJ\
JkYklWWWmWmWW nfRTPSe[ZTklemW
U`VDDDkXGPEP[c[ZTe] UX\P
^cjg[iR`obG```]K``]TPg AJ[^KTUpHJAKTfYeLPg
UGZ FJ\KXXRRGiPEc[Xike[ZlZ
JkRGic JkGZlP[XkeD
SOUNlP[ZO FJJALRUpHJSOYKT[FkR
FJ\hh]QRVDOUVDeF_DeFR`o [SeEjQ`]o
fYDDOLQlmmWW FNJSOhh_Dklmm
NgDT\ UNNpL
[JN \hP
[PlKVVVVVVVV RYKVV
SOHaHT fY\kXpn
FN\HT \]`^TfnSW`G^KTFN
FNJSeejQY SDeF_eWeM
\QlmmmWmWWmWm ALQ\LIDPT[i_O[KT\hF_klmmWm
SOh Uh
[SYEj\Ejr SWWiP\Ejg
AP`SW`SJKTFJ \HHg
UVO[LhSYE Aa`SWd`SJa`SW`LUpaQ\Pb\jE
UVDDeLHWUEkSeEj [S
\^`SW \[P`SW`^L]
FN\HT\[j]`SJK[RkRR FJ\UN
Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_ \UVD
\HaQlm \KKTUX
\]`^KTfGiPEc[P FN\UPaikq[Xkigke
JkGP[Xkq[P[ZlXk o\UGXPM
J FJ\UWKh
Jk JkGikikikq[Xkq[ZX
[RkcQRPP[im UGi
FJJAa`SW`SJKTfYedX\Pl JJAKTAVEhS
UN Aa`^KTfG
$ q
FJ\]` AIP`SW`a`
[P eP
UGi [RkcQRPP[im
APSW`^KT[LHg[\g fKWojgPTPTPTPT[\Id
[ eFkWigi
[SQTHIOTPTPT[\Z\j Ujqkc
[RkYeFjZgk SOh
lSkRpT\[KTfYO Sk\dpT\
FN\HT \]`^TfnSW`G^KTFN
$ f
[FRobG FNe\hhRT]]
JkpTJ UVOUPZlZNYeR
AP`^P` UPNnCW`
JkKhWFkG fpKTUX\F]DkRNXXPP[aq[P[P[
FNJfKhFkRKFkn[SW`^P`^ A
S FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZT
]LcaS UWcHH\]`S
$ U
[SeEjQ \]`SW`^KT[h_FeLHZ\_eSQobeM
FJUDVk\Y fK
\hSQ]TPQ JkGaq[P[oTeLP\EjYEjQ`
SeRkGaqj[ZNn^ \[J[SW`^
fcQXWn SOUpT\HM\Ha]`SW`
SDeLg\Id[\CdPT[\g[iFkc FN\
SkKWV FN\hLbkRkKPlr
\hPl\jrh [JWoeSQoli
fKL \lpUHJjgJL
fpP`^a`^L]`SJ XkpP`SWMSiJJ[^P`^_
$ fKh
\KKTUXm \HaQlmm
S AKT[FF
[Lgi]O mAa`^J[LH\
fGm[i SedGXke[i
kGZOWnSJKTAP`^P``^P`^K fpa`^a`SW`SJLH
S FJ\[nTJkiOUVeF]
fKJS\Ej\Ejrmjq [S\EjYEjQ]olMrmj
$ U
UXXVk\g AKTFN\h
]H fpL[L[KT\Q\
\]`KW`^L]`SJLUWYedVDeS\EjLeje JkKPbiP\
FNJG UPaikq[ZlP[Xke[iPEc[aikq[ic[iPEc[Zl
\[a`^a`^LUnSJLUpaHaHT JkRpT
\]`LHTQmR fR
Vqbg_FLQT JkRWYDDeL
OFN FN\]`^LHT
eAJ[^Lh fRVkXVe
fRXTSDkgrDg \QT
[LPgm JJAKTAVEhS\jrm
JFNl[a`^J[^P`^KTSO SO
\]`LHTQm f
TLUNlX FJJfGai
FJJUXXPZNKSrhbjIdPT[\IdPTP APSW`^KT[LHg[\gPTPTP
\HT L
UNNEn^ fYO]`^
AJ[ SDOHa`
FJB FJJ
U UX
UNTkRXlmWW YdSUklrm
SDeF_klmmWWWWmWmmm SDrDklWmWmmcWmmWm
UpT\QXWRVeFFkKPl f
SeS Aaa`SW`^KTJkchdXRGZONNnKTUNNBSc
\UNNKTf Jkchh]eRk
If ALHHJf
[h_eSrhPQTHg[\gPTPT[\W\]OHHJAP`S SDDO]`^L]`^TL]hS
UWKFkLokhR`obr_SSn mLQ\Wg_
JkKpd SDkRWYed
FJ\HaPc \[KT\[
