38134
W[PZ ak[SZifiCBpHdgP
TD [dHD
R`pO lcmiBR`YOG]O
HFLGfrprbYner_ RRlCTOkkfr_prr
fiBg[[]hgPZ_ T[G^PZ_
T[dTdT] g]X
fiBgPUhWhLLWhLWhBWhWhWULWL HFDPUhLL
Rk XGq
lFDo WFD[PG^P
H[[FGf R`ZDOKqicSmiBpif
fiBOjKbR g[GBUPhR
eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW mVWWoq
RRp RGFDdWFDdaClko
eVlWQVWoW AVWpWpWoWoW
piBg XDO
WDKkWkO[W XDDKc
eVWpWoWp AVWp_cW\V
fiBRk R`ZGSlgdWfi
GoO Td
$ T
F piBcV
ADpc cVG
aCYO n
TFDdg aClOhpOg
XGfr_prr____ pif_
AVWpWpW\VW eVWboWo_\VW
H[[]d^hKNTn TdWPFqd
fif W[dcmiBdWFGBW[Ff
XGBak[ lSSH
fif if
GBTd piB
cMm Hdf
gDa TdW[[dTFDD
G]O fiBRRYO
HFDdcSmiBRkBc o
fiBOjKb g[GBUPh
R[SpOC cmiBe
HPUhWhLLWhLWhLWh agP^PUoL
W]d^ piBR[ISZOi[]
Rk YfiBfi
RRoBODkeOk[]O Od^hk`YO
R`ZGSlgdWf R`pOip
H[] FJ]^Gd^Q
TFDFD XDFGBIg
f[jfr XGfr
Td GoO
XDGKB HPGB
W[D cmnABfiRBXDD
fiBg[[]hgPZ T[G^PZ
pifbneb pifbJ
OKql W[]hK
HPZ T[G^PZ
$ HdT]
R_kCBXDFGDBa` g[P
WobTU gFGBOjKbKHK
edmpWo eVW\VWo
cSSEifr_prbHYr_Vp g[FDFGfrp
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR HPUh
agP^PUoLLL XDPUh
m piB
AVW\VW IeVWpW
HFDPG WPq
f[j XG
HPGK[ WDKHKb
XDGK HPG
H cmiBOhCZOgdR`ZO
WPFqP P
fiBg[[]hgPZ T[G^PZ
fiBiOT Od^jXa
eVWboWo_\ AVWpWpW\
O $
TFDd aClOhpO
XDMDK T]jK
WFD]hKTl XaBa
HdcSSVP` XDcVGP
cmnABfiRBXDDK W[DK
cDSp c
pfi fi
cmnABfiRBXDDK W[DK
eVWBVWoQ piBAVWp
fifrprbnebnebncWWWe RkBpif
$ p
fifbnebHY [dgfiEf
AVWp eVW\VQ
aiOhk W[PFD[dR
fifbner pifrprir_
H[ $
$ HdT]
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
M $
XaBak WFD]hKTlk
cSm qpnQ
W]hgdXGBW CTr
TFGBaG] a
HdXGfrp fiB]pBHFGf]p
cSmiB M
eV heVWpWpW\VW\V
XaBak[ aGSD
eVW\ WFGBc]iBUe
RRoBODkeOk[] Od^hk`Y
HdTDKb c`miBXDD
PU piBT[P
W[dcmiBdWFGBW[Ff fif
R` R
piB N
T]j XDMD
g TFDFGBgFqdT
R[]O fiR`fiR`IlKEV
pifbHYr piBTdfifrprrprprrprr
OR`D aGSD
Wd m
p R[SYO
cSmiBT]d^ XGBGB]
R[]OCD XGBRl[
$ WHZpV
eWoWI eVWoW\VW\VW
gnTG^P XDdgP
XoOkJ T[
XDdfiBpifrprbHYb pifbJ
$ M
ff XGf
ng XD
gdO pBO
f[ifbnebHYr_prr_prr pifbHYr____
fifrp fiUfrp
XGBak[ KDV
PUhWhLLLLLWhWhLLFWh TPUh
agdfifbnWebHYbner_ XD[DGfKbnReg
XD[ XWDB
aWXP RkBcSmiBTP
RRoBODkeOk[]O Od^hk`YO
aG] WdRX
T]d XGBW[[]d^dd
$ Od^hk`V`l
XGfbnWW iPV
ak RLYOk
cSSSmieVWpWpW\VIW eVWpW\VW
fiBcmiBRR RTaO
HdRkBAVWoW WFGBc]iBUeVW
T[[FGBfifb piBTdfifrprrprprrprrprb
TD XDdXGBTPqD
RDXaac HdH[DXaa
pifJ WFDdcSmifrprb
fiTH] R[]OiT]hCYOg]
gPG^DKckkkWW WDKkWkO[
IeVWp AVW\V
W[ $
gdfif cSSEifr_prbHYr_Vpr
WFD]hCT W[PFD[dR`T
gXGB fiB
gdfifrp XGfr_prbnWerprpH
WPFq $
piBg[D XDO[D
pifrprir_p fifbnerp
gdT OR[ZOn
pifbHY RlfVkU
T HFDPG
aKEV RLYO
ai rEhgd
piBAVW eSWE
HdcSS cdh
pif ^iqf
MgFDpGISB gFGB
XDMDKc T]jKc
fiBXGBfiBcmiB M
cmifrprr_prrprr cSSmiBifr
T]jK TFDDKH
WdH]higP cSSSSSmiHPT
fifrprr HFLGfrprbYner__
[ H
fiBfiB O
fifbnerp fifrprbnebnebncWWWerp
WPVHX HdH[DXa
aK mn
RTaO fiBcmiBRR
piBak`TOCDSV iBKR
W[a Wd
piBeV eVlWQVWoWo
Rkfbn XDMDKckW
R[]OiT]hCYOg]d fiTH]d
HdTd T
TZIf gPZIAIA
RRlCYOK $
p WHZpVp
XDPUhLLLLLWhWhWhLWhWhWhL agP^PUo
N piB
Wd W[a
cmiBAVko AVWoWp
HFD]QjKckWWW T]jKc
c`miBXDD XD[PP
HPFq]jR _lXDR
AVW\VWo YV
fifbH W[dcmiBdWFGBW[FfbH
gDKc g]hiXDFD]fjKcW
TFDFGBgFqdT g
R`DbMS RR
R`DbMSp Ro
XGX aiX
A[WoL[ eVWoW
XGfbnWeb HGfbBYi
XDFGBIgD TFDFDD
XG TDX
$ Od^hk`V`l
HdXDdX cmiBpiBHdYWF
bWSG^d $
XD[DGfKbnReg_prrp XGfr_prr_____p
RoOKNTOC aDGSYOkR
XDGK HPG
HFDPUhW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
c\SS R[]Ok[SYOCVkBcSSS
piOBnPZ_[] XDdgPZ_
fifbHYbHYrpr iBgGfrJp
SPf piBWFD[[PP
eVlWQVW eVW
XDdR`lg]d^jKHXa fiBiOTaaaaaaa
_R` $
cSmi iZ
gPUhWhLLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
TPGj R_kCBXDFGDBa`Gj
HPGI T[PGB
cmiBfi foc
fiB\O XGBOd^
ZY g]hKE
IeVWpWoWpWo fiBeVW\VWpWp
pifr_prr XGqfr_
XGfr__p WFGfWr_p
fiBAVWoW eVW\VQWpW
AVZW AVW\VWpWoWpWoWoWpWoW
mVWWoq eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW
Oh gYF
R`VRZOCZOkkBAVW\ KBe
HPGK[ gFGBOjKbKH
R piBT]h
piBH[P R_kCBXDFGDBa`
RRV[ a
gdHFGBpiBR $
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
fiBeVW\VW cSSSmieVWpWpW\VIW
H gFGBT[FT[[
AVWoW cSSSmieVWpWpW\VIWpWpW
RoVQk fiB
fiBiBR[ R[
Odj T[]
XGfr_prbnWerprpH XGfrp
rEhgd ai
TPUhLWhLWhWhL PUhWhLLLLLWhWhLLFWhL
RRVRVoOkkfrprr cSSmiBifr
piBak`TOCDSV CDdR
fifbnWebnWWeb cSSmiBifr_prb
XD[DGfKbnReg agdfifbnWebHYbner_
ag XDPbq[
eVWo eVW\VWip
eVW\VQ eVWoWoWpWpWp
fiBeVW\V cSSSmieVWpWpW\VI
piHbRX ak
XZDbb XDd
\NgT T
XD gpr
aX R`V`l
O $
AVWpWpW\ eVWboWo_\
WdpiB WFGBr
fifbnWebnWWe W[dcmiBdWFGBW[FfbHY
aGSV[SZOgFG R`V[]OifiBfigBWFDdfi
fiBRRY G]
qDe HdTDKbK
piBH[]h $
fiBiB $
eVW eWoWffoW\VrpW
]cSSSQ H
AVWX WFD[dAVWpWpWpW
fiBA pBTFGBAVW\VW\VW\
piBfi HFj
c\S R[]Ok[SYOCVkBcSS
r $
fifrprbner fifr__N
OR` RR
WHZpV $
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
gP P
g[FGf GBRkBcmif
g]hiXDFD]fjKcW gDKc
aG]O n
W] gLS]
mXDPPXaa Od^jXaaaaaaa
OhK OKql
fiBXGf H`GBfifr__pr
ai `T
fifrIKpS cmifrprr_prrp
fifrprbnebnebncWWW fifbn
cmiBAVko piBAV
TDXfbn fifbnWebnWW
WPUhLLWhLL agP^PUo
aiY Od^hi
RhmOiRRED] T[]h
] R
R[ fiBiBR[
cm YfiBf
W[dW[[P mXDP
OjRPSCpP g[GBUPhRPS
f[ifbnebHYr_prr_pr cmifbHYbnerpr
TF YdW[q
Hdfi jDi
qpnQ cSm
XDd XZDbb
Od^jRPfSSrfSC HPPRPC
R`ZGSlgdWfi WFG
XD]hk mkm
XGf qpnQif
c cDSp
OhiOd^ fiB\O
gFddiBbpf cSm
gFGB MgFDpGISB
Sci c
RRpO gVOh
f RRYO
Ea Od^hk`V`l
T[G^ fiBg[[]hg
m Wd
fiR`fiR`IlKEV R[]O
cV cSSSVGU
f[ifbnebHYr_prr_p pifr_p
TPUhLWhLWhW PUhWhLLLLLWhWhLLFW
cdh HdcSS
RRlCTOkkfr_prr_ HFLGfrprbYner__
T[Wc T
WdiBpijXGBlH[FD[FG gdpi
T HFLDrT
l aGSpOKE
pifr_pr WFGfW
T]j XDMD
c\ R[]Ok[SYOCVkBcS
fifr__p ffrp
pifbHYrp cSSmiBifr_p
[FDKHC XD[D
W[D cmnABfiRBXDD
fiTH R[]OiT]hCYOg
R[[ aiaK
XDMDK T]jK
pW piBfi
XGX aiHFDF
fiBOjH TDKH
A MVWj\e
fifcrp cmifrprrp
R_kCBXDFGDBa`Gjc piBH[PGjc
piBak`TOCDSV iBKR
fifbnWeb XGfbHYbGHcYoHYK
MgFDpGISB gFGB
heVWpWpW\V XDFD[dXGBT[dAVWoW\VWo
HP_Gj TDK
HPGI T[PGB
H[dpifb RoOifb
YVW W[deVWoW\VWoWpW
$ WPFq
TZIf_Q fiBW[[PZI
Od^d^ aL]
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRW XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhLW
gDKckkW g]hiXDFD]fjKcWkkW
pifrprir_p aipifrp
dW agFD
piBT $
Xa agF
g R`V[]OifiBfigBWFD
cSLVaGGG piBcVG
cSVP` cSSmiBocSSVGP`
eWoWIo AVWp
Od g
g[ cmiBpiBHdYW
cDSpmiB cmiB
O[j TdcmiBHFDDKb
iBpiBpiBXD[ g
XDGKBE W[dRkBOd^hiWP
AVW eVWboWo_\VWoW
fiBRRYO G]O
ffr fifrprr
[kNKb Od^j
XaBak[S piBH[]hC
mn fiBOhK
cSSVP````````````` cSSmiBocSSVGP
gd GB
cS nRTOiUiBkS
pfiBAVW eVWoWoW\VW\VW\VW
eVW\VWi AVWoW
XDDFGJBg XDPG^
ffH HFGfb
fifr_p fifrprr___Xp
pf f
fiBiBR[ R[
OhgPU T
HNQZIA XDdgPZ_Q
$ W
cmiBpiBTd ZT_
RRp R`DbMSp
DHc p
GBRkBcm f
R[S R[
edmpWo eV
$ HdT]
fiBW] MX`
piBRkBWdg gFGBT[FT[[
WdR RGFDdWFDdaClk
fiBiBR[ R[
`K] g[]d^d
gFD TT
nRTOiUiBk c
[ H
IeVWpWoW AVW\VWoW
YVW g]hgFGBAVWoW\VW\VWpW
cSSmiBif XGfbne
cSVP````` H]Ih
fifrp piBTdfifrprrprprrprrp
fi pif
cmiBAVko AVWoWp
HFGBf $
HFD]hKBI aXFI
[km pi
piBpiBXD gLS
pifbn fibn
pkiBpiBTr XGBT
agF aiYX
cSV mdcVb
eWoiW HdRkBAVWoW
cS SciS
c Td
gdT C
fifb W[dcmiBdWFGBW[Ffb
mn fiBOhK
HdXGfrp fiB]pBHFGf]p
H[dfiBg cmiBpiBHdYW
chAmL TFDdpi
XgdTgFGBfLFM]j WD
cMmi Hdfi
pfiB fiB
gFddiBbpf p
XGfbner_p fifrIKpSrr_p
piOBnPZ_[] XDdgPZ_
fi pifbHY
ai rEhgd
fiBg[[]hgPZ_ T[G^PZ_
T]jK [dHDK
fif T[DXaa
fiBAV pBTFGBAVW\VW\VW\V
XGfb W[[FDiFdffr__prL
piBaKNVRpOCVRpOk [D
XGfr__prr RDkQpifq
eVc AV
_R` $
cVP` piBcimPa```
PUhWhLLLLLWhWhLLFWh fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLWh
qpnQ cSm
pifbHYr piBTdfifrprrprprrprr
A MVWj\e
TFDdH[PG^[]hC cmiBd^d^d^hC
T[d eZV
XDP gprP
XG f[j
AVWpWpW eVWboWo_
RRVRVoOkkfrp fifrIKpS
TFDDKH W]d^jKHK
cS SciS
R`ZGSlgdWfif pifrprbnWerpr
Tdfi cXmi
pfiB fiB
Od^jXa cmnABfiRBXDDKbX
HFj fi
cSSSVGU fiBcVG
HdT] $
HFDPZZ IPeZJIAlSfAZ
RkBcSmiBTPZ aWXPZ
XDO[ cmiBT
TDK WobTU
qpnQif XGf
pifr_prr_p ffrp
g]X g]
fUBg[d WFDFGB
$ l
a Ya
AVWpWpW eVWboWo_
RoOigPF Pr
bWPFY aClgP
eVWpWoW edmpWoW\VWoW
fiB\Od g[]d
X cmiBfi
fiB\O OhiOd^
fi GBRkBcmi
W gFSD
X F
$ ag
fi W[dcmiBdWFGBW[F
W[P gnTG^P
XVDdjgF Wdgdfi
RRlCTOkkfr_prr HFLGfrprbYner_
piBTDR fiR]
T HFDPG
fiT $
fiBA pfiBA
R` R
DHc HPFqdRkBp
eVWoW\ eVW\P
OR[ZOnda H]h
p Od^hKNlk
W[dcmiBdWFGBW[Ffb fifb
pifr f[ifbnebHYr_prr
gFGBT[FT[[ T
H[PC gP
XGfr__ qpnQifr
HFLGfrprbYner__prr__ fifrprrprr__
H cmiBOhCZOgdR`ZO
p gFddiBbpf
d aicSSSmiB
TZIf gPZIAIA
WdA edmpWoW\
aGS OR`
fiBOjKbRPSCp P
p $
XDD XDDFGJBgPP
pBTFGBAVW\VW\VW\ fiBA
gLS]j Oj
fiWBT_T XDdR`lg]d^jK
aGSV[SZOgFG [km
R fiBaFID
H aKEX
HFDPUhLLL gHPUhLLWLLLmhWh^LWhWhWhLLWhWh
gFGfr dfiXr_prrD_
XDO[ TdW[[dTFD
W[dcmiBdWFGBW[Ff fif
fifrIKpS cmifrprr_prrp
D HFDP
PUhWhLLLLLWhWhLLF TPUhLWhLWh
cS SciS
Od^jXaaa fiBiOTaa
W a
Oh Od^dRhCpOkjOp
R_kCBXDFGDBa` g[P
pi eii
Vg[FGfbHYbnWerprnr_lrrprbHYb Od
W[dW[[PP mXDPP
piBaGSVoOgdgFGBgDRPSC Od^jRPfSSrfSC
pifbnerprr_ fifr^_
HPUhWhLLWhLWhLWhL gP`
mkm XD]hk
TPFq\FGBcV cSV
iBTiBf piB
pifr_ f[ifbnebHYr_prr
Hdf cMm
XDPG^P XDDFGJBgP
aWX W[
Wdfif fiBgdpHQ
XGfr_p cMmifrp
k` OhKEVk`
eVWoW\VW\VW eWoWI
R`V[]OifiBfigBWFD g
H`GBfifr__prb fiBXGfb
AVW\VWoWn AVW
edmpW eVW\VW
[ H
fiBHiBTHLdgQ cSSmi
cdh HdcSS
gPG^DKckkkWWWWW c`miBXDDKcW
RRp ]Rp
piBeV fiBAg
H]hDS XDPGBEFq[]h
pifrprbnWerpr R`ZGSlgdWfif
WFGBc]iBUeV AV
cSSVG TccSV
$ e
fiBAGCf fif
H]hDS TFD[]hKEECpO
H[d M
aci]PZ^ XDPZ
cSSV ADpc
XGq XG
agP^PUo XDPUhLLLLLWhWhWhLWhWhWhL
W[PZ cSSSSSmiHPTZ
AVWoW\VWpWoW\V eVWoW\VWoo
aCD DR`[
R`V[]OifiBfigBWFDdfifr g[FDFGfrprr
XD[P g[PU
p[Wf WFGfrprrpr
H[FG p[W
cSSSmieVWpWpW\VI eVWpW\V
fiB\O OhiOd^
TDXfbn XGfbn
RRp cmiBd^d^d^hCp
W HFLDrT
OhGSZOGSO RoOKT
AVW\VWpWoW eWp`W\VhW
TFGBOhkfbnebn cmifr__prbnWWerprbner__prbnW
aiH[FDFG `
R`D]OGSTOFI H
g fiBHFD[FDCD
g] OI
pifr_prr_p XGBfifObmnerp
eV aieVWoWpWoW\VW
cSV mdcVb
Rk GXG
pifbH HFGfbe
HDKHR WFR
DPhDMOVG aCD
TPFq\FGBc cS
DPUhI HPUhWh
O aL]
bWPFY gP
R`DbMSp RRp
WdOhCpOko RDRIOKNp
cjP cSVP
R[[ aig]d^hK
o g[dcS
XD[PP c`miBXDD
RoOKNTOC aDGSYOkR
H WPq^
AV TdWdAVWf\JV
Oj XDO[D
cVP````` cSSmiBocSSVGP
fiBAGC fi
R[]OiT]hCYOg] OFGBdK^^d^
HFGfbn iPV
aiH[FDFG `
cSV cVGGN
eVWpW pBTFGBAVW\VW\VW\VW
W[PZ_ PQ_D
heVWpWpW\VW\ A
g[FGBpiBgPoK fiBOjK
WdiBpijXGBlH[FD[ g[FDFD
H[]d^hk`l fiR`fiR`IlKEV
RoVQk fiB
Kko piBH]
ai XBH]h
gDKck g]hiXDFD]fjKcWk
gFddiBbpf p
aGSl Ofhk`O
qpnQi XG
XG fiB
pfiB fiB
XGfbner_pr cSSmiBifr_pr
fiQbnWbWWnWW pifbnW
TPGB HPGI
WP doOd
pifr_pr WFGfW
fCTdd XGBR`
XGBf R`ZDOKqicSmiBp
cmifrprrp fifcrp
pifrprbn TFGBOhkfbnebn
OR`D aG
cSm qpnQ
mA AVWoW\VWpWoW\
RkBAVWoWo AWp
TDXaaa fiBiOTa
agdfifbnWebHYbner_ XD[DGfKbnReg
aX XD[]d^h
Oh d
WFGfWr_p cSmifrp
h HdT]h
Wd eT
cSVG cj
TNFGfbnebNYr XDFGfrprrprr_
RDRIOKN ak`TOKNpOKEEC
SDDDRg eVWo
eVlWQ e
XGBf R`ZDOKqicSmiBp
gdT XoOkJ
cdh HdcSS
fi GBRkBcmi
edmpWoW RkBeVW\VWpW\VW
cmif TFDFQfbEnY
eW A
`BeV eVWoW\V
R[]OGSTOipi NcGBTi
fifbHYbH TNFGfbnebN
WdcmiB aiY
c cDSp
X XDdcSV
R[]OiT]hCYOg]d fiTH]d
Hg[VPUhLW`LLLWhLLLWhLWhhLh WPUhLLLLLWh
TF GX
TFDdp YfiBf
cSLVaG cV
pifbnWer___p cmifrQp
TDR W[
o HFDdcSmiBRkBc
piBaiOh R
XGBg]d^hkkfr_p [iip
g[dfiBWdT fUBg[
fiT $
aG]OFID NG]IFIj
c Sci
TD [dHD
W[]ifiBeVWpW eVW\VW
G]O fiBRRYO
cSmifbHYrp fifrprr___Xp
aG]O n
X[ ag
g[FDFDF a
Ydpi cSmiBOh
AVW\VWoW IeVWpWoW
XZDbb XDd
cmiBd^d^d^h ak`TOKNpOKEE
WFD]hKTl XaBa
XDDKc WDKkWkO[W
cDSpm fiBp
XGqfr aipifrprr
^iqfrpr XGfbnerprr___pr
pi $
gd iBg
\Ng $
aL WdgFD
YfiBf cm
fiTH] fiBaG]OiO
eW piBAVW\VW\
TdXDFGBg XGBGB
IeVWpWo AVW\VWo
N piB
edmpW eVW\VW
$ Y
TFDdH[PG^[] cmiBd^d^d^
gFGB MgFDpGISB
ai k
HcmB T
W[dW[[P mXDP
g[[D Wf
ai piXD
cmifrprr_prrprr_p fifrIKpSrr_p
cSVG cj
Y $
cSSmiBocSSVGP` cSVP`
WFUGfrQh XGfr
AVW\VWo IeVWpWo
gd T
cdh HdcSS
$ _R`
gPZIAIA TZIf
fiQbnWbWWnWWe fiBXGf
cmnABfiRBXDD W[D
fi i
i fiBWFG
l aGSpOKE
Od^hk`Y RRoBODkeOk[]
m $
agdfifbnWebHYbner_ XD[DGfKbnReg
piBH[ $
OKqlB W[]hKB
mVWWoq g[dAVW
XDFGBIgDR TFDFDDR
pfiB fiB
RkP gd
mVWWoq eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW
AVnW eVWoWpWo
g]d^j g[FGBpiBgPo
XDdpifb pifbJ
gi XG
TPFq\FGBc cS
TFGfrprrprbHYrprbne fi
TPUhLLLW gHPUhLLWLLLmhWh^LWhWhWhLLWhW
edmpWo RkBeVW\VWpW\V
pifbnWer___p cmifrQp
R`V[]OifiBfigBWFDdfifr fifr_prr___
fiBHiBTHLdgQ cSSmi
cjP`````` fiBAVWoWoWoW
a RRVoH
cSm qpnQ
HFLDr $
fiBiOT Od^jXa
fifrprrpr HFLGfrprbYner__pr
cSSSmieVWpWpW\VI eVWp
XD[DGfKbnReg_prrp fifr__prbHYrp
fiBRRY G]
XG_^BfiBAW AVWpW
Prq TPFq
fi fiBAGC
aL T
RLYOk aKEVk
pBTFGBAVW\VW\VW\ fiBA
] R
GBRkBcmifr g[FGfr
pifbHYrprr pif
cSSSmieVWpWpW\VI eVWp
HPGBE WPo
T[ $
TDKbKckW c`miBXDDKc
fhBS]d WdpiB
qDe HdTDKbK
fiBpifbnebHYrpr GXGf
mkm XD]hk
aGS OR`
aCD DPhDMOVG
cDSpmi cmi
aCD DPhDMOVG
fiBA pfiBA
RkcH` WdT
piB[j HFDPP
XDdR`lg]d^jK fiWBT_T
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
T[PGB HPGI
aKES akOKFZjGGGO
eVWoWoW\VW\VW\V pfiBAV
Y eVW\
OjKckkkkWkkWkWWkWk UUV
TFDFQfbEnY Wdpif
OjRPSCpPCp _lXDR
fif W[dcmiBdWFGBW[Ff
TPF TPG
WDKkWkO[ gPG^DKckkkWW
heVWpWpW\VW\V eV
Od^CKNV`VZOiXBOd^j Oj
pif GBRkBcmif
TFGBOhkfbnebn XGfbn
AVZ eVWo
D HdgP
Od^CKNV`VZOiXBOd^j gD
fiBOjKbRPS g[GBUPhRPS
` XG
HFD]QjKckWWWk T]jKck
m AVWpW\
gPG^DKckkkWW WDKkWkO[
ai XBH]h
cmifrQ pifbnWer___
ZO aiTFGBO
AV eVW\VWip
agP^PUoLLL gPUhWhLLWhLWh
XGfbHYbGHcYoHYK fifbnWeb
ak RLYOk
g[PU piBT[P
$ ii_Dd
XD[DGfKbnReg agdfifbnWebHYbner_
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
fiBAVWo cmiBAVkoWp
gHPUhLLWLLLmhWh^LWhWhWhLLW gPUhLW
g]hiXDFD]fjKcWk gDKck
RkBXDDK eVW\VWH
pifrprir_ fifbner
ST TFGBH[da
HFD X[
f[jfr cSSSmifr__
XDFGBIg TFDFD
XGfbnerprr_ pif
HdTDKbK qDe
W[]ifiBeV AVW\VWo
Z[PGM^ W
HDKHR WFR
T HFLDrT
W[ $
IeVWpW AVW\VW
_kfb fifbHYbn
XGB `B
fifbHYbHYrp ^iqfrp
mUgWoW TDK
P ai
T]h aC
eVW\VWo edmpWo
piBHDXaa fiBiOT
Od^j TPPQKb
aipifrp pifrprir_p
cMmif pifr__pr
$ T
TFDFD XDFGBIg
gDKckk g]hiXDFD]fjKcWkk
aKT XGBoR`
WDKHKbK WobTU
E TdW]hG]Og[PUhLW
fiBRkfbn R`ZGSlgdWfifbn
cSSSmieVWpWpW\VIW fiBeVW\VW
W[FGBHFD $
HGfbBYi XGfr_prb
gdH[[PFqFGfrp TdXmifbnerp
gprPU HPUhW
p gFddiBbpf
GB gd
R`DbMS RR
aX fiBOd^hGSYO
R`D OhF[
Oj Od^CKNV`VZOiXBOd^j
eVWboWo_\V AVW\VW\VWoWo
XGBgDKck c`miBXDDKcW
OKql W[]hK
[d fiB
GBRkBcmifr_p fifrp
piBTFGfbH XGBOhGSDSCYOXEFGfb
SciS cS
gFDPGBE gFSDP
fiB GB
piBcimPa`` fiBpiBcVP````
TFGBXG XGq
M piBa
ai XBH]h
XD[FD[FDdcSmiBWP gprP
g[]d^hk[SlkkBeVWpWpWoE eVW\VWpW\VW
g[FDFGfr cSSEifr_prbHYr_V
pfiBAVW eVWoWoW\VW\VW\VW
f[ifbnebHYr_prr_p cmifbHYbnerp
H RoO
R`V`DSVkf CRRZOG]OgFefbHc
gD Wf
g aL
fiB\Od g[]d
FJ]^Gd^Q g]
akOKFZjGGGO aKES
AVWoWp cmiBAVko
akOKFZjGGGO aKES
agdfifbnWebHYbner_ XD[DGfKbnReg
eVWoWoWpWpWp eVW\VQ
Y eVW\
fifbnWWWer__p Gfber`qI
Y XGBe
T[[D g[[DXaaaaa
gPP Wdag[
cSLVaG cV
XDMDK T]jK
Ai cmiBcSSmif
TDX XG
$ Od^hk`V`l
TPFq\FGBc cS
gDKc HFD]QjKckWWWkW
pifbHY piBTdfifrprrprprrpr
gP H[PC
HdcSS cdh
f[j XG
XGfrprrprrpr fifrprbnebnebncWWWe
pfiB fiB
mQrMrrQ__prrpC RRlCTOkkfr_prr_pr
fiBiBR[ R[
MgFDpGISB gFGB
T $
ZY g]hKE
RkcH`Dc TPGBEFq]
fifr___pr ficl
T $
cSSmiBocSSVGP cVP`````
eVWboWo_\ AVWpWpW\
piBpiBH] aL]
HPGK[ TD
OhKEV $
eVW\VWpW\V eVlWQVWo
XDdHdAV cmiBAVkoWp
gnTG^ WFGBfiBXD
gd RkP
WF HDKH
eV heVWpWpW\VW\V
mn aK
piBeVW XG_^BfiBAW
heVWpWpW\VW\ e
AVW\VWpWoWpWoWoWpWoW AVZW
pifbHY fi
T]jK TFDDKH
fiBg[FGBH] OFGBdK^^d^d^
` aiH[FDFG
cSSmiBocSSVGP fiBpiBcVP
iBpiBpiBXD[ g
eWoWffoW\Vr eVWpW
AVW eVRW
Od^jRPfSSrfS T]jRPffSS
fifbHYbHYr fofr_U_
gDK Od^CKNV`VZOiXBOd^jK
XDP gprP
AVWoW TdWdAVWf\JVW
c R[SYOi
HcmB WdgFD
Hg[VPUhLW`LLLWhLLLWhLWhhLhW WPUhLLLLLWhW
fiBA pfiBA
RRlCYOK $
gnTG^ WFGBfiBXD
XGfbnerprr__ R`VkfZ
g[FGBpiBgPo g]d^j
XGB R`V[]OifiBfigBWFDd
TdXmifbnerp WFGfrprrp
pif pifr
XGfr_prr_____p RkBWdfifbnWWer__pS
iBpiBep AVWoWo
iZB $
XDDFGJBgPP XDPG^PP
HDK [FDKHCK
T[G^ H
G] fiBRRY
XGfr_ WFGfWr
Rkfr RoOgdfifrm_
RkcH` piBW
fiB\O XGBOd^
heVWpWpW\VW\V AV
cV cSLVaG
X F
fiBiOT H[]d^jXaaaaaaaa
g[FDFGfrp XD[DGfKbnReg_p
AVOWS\ AVWpWpW\VWoW\
eVWboWo_\ AVWpWpW\
XDDFGJBg XDPG^
RRp cmiBd^d^d^hCp
eVWboWo_\V eVWoWp
eVWpW pBTFGBAVW\VW\VW\VW
OhKEV $
mVWWoq\ A
lcmiBR`YO TFGBa
if HFGBfif
WFGBfiBXD gnTG^
piBpiBH HcmB
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
HFjf fif
g[]d^hk[SlkkBeVWpWpWoEpW eVWpW
gdT OR[ZOn
cSSmiBocSSVGP cSSVP`````````````
]cSmiBBOh R[SYO
XGfr_prbnWerprpHrbH WdXDFGfbH
eWoWffoW\Vrp eV
$ VFBRkB
XDDFGJBg XDPG^
Wd fiAfiB
l $
MgFDpGISB gFGB
XGB `B
mXDPP W[dW[[PP
edmpWoW\ WdA
HFLGfrprbYner_ RRlCTOkkfr_prr
c Sci
Hdfi [dgfiE
OdBSP H]d^
ii_DdAVWp eVWoW\VW\VWoW\V
g[] fiB\O
aK OhCYOF
cSGm aip
eVWboWo_ AVWpWpW
XG_^BfiBAWoWo AV
XDFGBIgDR TFDFDDR
OjK XDKlg
aKT XGBoR`
k` H[D
piBg XDO
[km pi
gdH[[PFqFGfrp TdXmifbnerp
KDV XGBak[
R`ZGSlgdWfi R`pOipi
W[PZ_Q ngPZI
